,version,lon,timestamp,id,lat,changeset,tags,addr:city,addr:housenumber,addr:postcode,addr:street,name,phone,geometry,osm_type,operator,website
0,1,14.295173,1625385841,8891933823,42.387875,0.0,"{""craft"":""shoemaker"",""industrial"":""factory""}",Miglianico,264,66010,Contrada Cerreto,Pavi Group S.r.l.,+39 0871 79888,POINT (14.295172691345215 42.387874603271484),node,,
1,6,,1641804091,395362254,,,"{""industrial"":""factory"",""landuse"":""industrial""}",,,,,Zona Industriale di San Salvo,,"POLYGON ((14.7406871 42.0346649, 14.7413549 42.0349831, 14.7422464 42.0351981, 14.7421461 42.0352956, 14.7417293 42.0358689, 14.7410577 42.036534, 14.7414591 42.0368206, 14.740911 42.0372506, 14.7414861 42.0376577, 14.7402085 42.038681, 14.7408261 42.0391683, 14.7421075 42.0381249, 14.7447938 42.0400512, 14.7447977 42.0401888, 14.7446896 42.0402977, 14.7442496 42.0406417, 14.7420959 42.0390623, 14.7418759 42.03924, 14.7419415 42.0393317, 14.7419184 42.0394091, 14.7412391 42.0399595, 14.7410538 42.0398391, 14.7405907 42.0402404, 14.7406871 42.0403551, 14.7404942 42.0404927, 14.7401236 42.0406618, 14.7401507 42.0409771, 14.7399924 42.0410029, 14.7402047 42.0417254, 14.7397553 42.041814, 14.7393461 42.0418935, 14.7394212 42.0423702, 14.7398149 42.0426568, 14.7392822 42.0431154, 14.7388963 42.0430753, 14.7387187 42.0430982, 14.738217 42.0435196, 14.7387535 42.043918, 14.7384871 42.0440986, 14.738078 42.0438148, 14.7378889 42.0439983, 14.7364092 42.0453412, 14.7477349 42.0536082, 14.7480591 42.0534076, 14.749518 42.0544221, 14.7503903 42.0539521, 14.7533854 42.051476, 14.7543889 42.0507194, 14.7552226 42.0499971, 14.7539644 42.0491889, 14.7532774 42.0496876, 14.7523896 42.0491144, 14.7520268 42.0493666, 14.7515791 42.04908, 14.7514016 42.0491717, 14.7511082 42.0489998, 14.7506682 42.0486558, 14.7515096 42.0482431, 14.7548675 42.0481342, 14.754744 42.0476699, 14.7543735 42.0466553, 14.7538331 42.0448897, 14.7533237 42.0438406, 14.7527216 42.0438463, 14.7526907 42.0436629, 14.7524359 42.0434107, 14.7516949 42.0431699, 14.7518107 42.0427055, 14.7510002 42.0425508, 14.7508921 42.0425049, 14.7508303 42.0424017, 14.7517875 42.041708, 14.7527138 42.0425937, 14.7538872 42.0423988, 14.7536981 42.0421208, 14.7535514 42.042138, 14.7533816 42.0418944, 14.7526521 42.0420291, 14.7524321 42.0420835, 14.7518377 42.0415475, 14.7515058 42.0412179, 14.7520114 42.0409284, 14.7518377 42.0404955, 14.7519072 42.0404525, 14.7519921 42.0403379, 14.7519496 42.0402261, 14.7514363 42.0397617, 14.7504598 42.0402433, 14.7487037 42.0386122, 14.7493868 42.0380877, 14.7491514 42.0378268, 14.7482096 42.0380934, 14.7479703 42.0379214, 14.7487963 42.0372363, 14.7477387 42.0364566, 14.747237 42.0368378, 14.7466658 42.0365024, 14.7468587 42.0363333, 14.7458128 42.0356998, 14.7459633 42.0354303, 14.7453882 42.0351178, 14.7455001 42.0350118, 14.7447938 42.034599, 14.7442187 42.0342721, 14.7441724 42.0342005, 14.7438173 42.0339769, 14.7435472 42.0338909, 14.743358 42.0340399, 14.7423854 42.0334302, 14.7418605 42.0337991, 14.7415363 42.0339253, 14.7406871 42.0346649))",way,,
2,1,,1547677983,663983151,,,"{""industrial"":""factory"",""landuse"":""industrial""}",,,,,Zona Artigianale di Celenza Sul Trigno,,"POLYGON ((14.6109307 41.8885382, 14.6087636 41.885656, 14.6094174 41.8853835, 14.6115847 41.8882656, 14.6109307 41.8885382))",way,,
3,5,,1615542555,663983153,,,"{""barrier"":""fence"",""industrial"":""factory"",""landuse"":""industrial""}",,,,,Zona Artigianale di San Giovanni Lipioni,,"POLYGON ((14.575337 41.8300804, 14.5753019 41.8292515, 14.5750819 41.8291516, 14.5750671 41.8291126, 14.5747872 41.8284422, 14.5750387 41.8283837, 14.5750996 41.8283695, 14.5751229 41.8283641, 14.5752038 41.8283452, 14.5753877 41.8282522, 14.5755412 41.8282716, 14.5755863 41.8283866, 14.5756344 41.8284881, 14.5758355 41.8284811, 14.5758437 41.828612, 14.5756516 41.828654, 14.5758098 41.8290522, 14.5759562 41.8294208, 14.575967 41.8294594, 14.5759907 41.830018, 14.5759927 41.830065, 14.575337 41.8300804))",way,,
4,2,,1547809716,664374716,,,"{""industrial"":""factory"",""landuse"":""industrial""}",,,,,Zona Industriale di Fresagrandinaria,,"POLYGON ((14.6730927 41.9624036, 14.6726589 41.9617585, 14.67308 41.9616067, 14.6732203 41.9617395, 14.6737758 41.9617043, 14.67369 41.9615699, 14.6729652 41.961379, 14.6737179 41.9611323, 14.6753893 41.9599749, 14.6756573 41.9600602, 14.6759252 41.9598705, 14.6762697 41.9603923, 14.6763718 41.9604872, 14.6767928 41.9604113, 14.6770225 41.9605441, 14.6768693 41.9609236, 14.677048 41.9611608, 14.6772521 41.9613221, 14.6775838 41.9607908, 14.6803525 41.9619577, 14.6807097 41.9622329, 14.6809904 41.9628116, 14.6809182 41.9629531, 14.6773254 41.9614114, 14.677099 41.9615972, 14.6747769 41.9624036, 14.6739731 41.9625365, 14.6737052 41.9625839, 14.6735521 41.9623183, 14.6733479 41.9623752, 14.6733224 41.9623088, 14.6730927 41.9624036))",way,,
5,3,,1634841482,674297178,,,"{""building"":""yes"",""industrial"":""factory"",""man_made"":""works"",""produce"":""olive_oil;pasta""}",Fara San Martino,,,,Pastificio Cavalier Giuseppe Cocco,,"POLYGON ((14.2157104 42.1000393, 14.215909 42.099893, 14.2160061 42.0999655, 14.2160568 42.0999281, 14.2163892 42.1001764, 14.2161398 42.1003602, 14.2157104 42.1000393))",way,,https://www.pastacocco.com/
6,1,,1600595480,849439597,,,"{""industrial"":""factory"",""landuse"":""industrial""}",,,,,Rea Carni Di Pirocco Ennio,,"POLYGON ((14.0251506 42.3883025, 14.0240145 42.3877039, 14.0254054 42.3865694, 14.0258124 42.3868909, 14.025908 42.3870739, 14.0258761 42.3872961, 14.025731 42.387649, 14.025593 42.387947, 14.0251506 42.3883025))",way,,
7,1,,1615571875,916387908,,,"{""industrial"":""factory"",""landuse"":""industrial""}",,,,,,,"POLYGON ((14.489285 41.7701221, 14.4896201 41.7700773, 14.4896975 41.770449, 14.4897834 41.770622, 14.4898865 41.7708079, 14.4900154 41.7709873, 14.4901959 41.7711796, 14.4903506 41.771327, 14.4892163 41.7712886, 14.4891303 41.7710707, 14.4891217 41.7709553, 14.4891819 41.7708976, 14.4892678 41.7708079, 14.489242 41.7705579, 14.489242 41.7704618, 14.489285 41.7701221))",way,,
8,1,,1626937417,966374301,,,"{""building"":""industrial"",""factory"":""yarn"",""fax"":""+39 0871 800290"",""industrial"":""factory""}",Rapino,26+0,66010,Strada Statale 263 di Val di Foro e di Bocca di Valle,C.T.Point S.p.A.,+39 0871 80851,"POLYGON ((14.1797826 42.2209657, 14.1796784 42.2210233, 14.1790391 42.2203894, 14.1790795 42.2203671, 14.1791386 42.2203344, 14.1796157 42.2200705, 14.1796776 42.2200363, 14.1798143 42.2201718, 14.1798976 42.2201257, 14.1800548 42.2202817, 14.1801052 42.2202538, 14.1804442 42.22059, 14.1805551 42.2205287, 14.1808961 42.220867, 14.1801172 42.2212977, 14.1800702 42.221251, 14.1797826 42.2209657))",way,,https://www.ctpoint.it/en/home/
9,1,,1629745170,975783304,,,"{""building"":""industrial"",""industrial"":""factory"",""man_made"":""works"",""product"":""plastics""}",,,,,Neos Italia Stabilemente,,"POLYGON ((14.1283464 42.2499215, 14.1278126 42.248968, 14.1280963 42.248881, 14.1280624 42.2488204, 14.1282907 42.2487503, 14.1283485 42.2488534, 14.1283904 42.2488405, 14.128472 42.2489863, 14.1284013 42.249008, 14.1285412 42.2492575, 14.1284304 42.2492915, 14.1287192 42.2498072, 14.1283464 42.2499215))",way,Neos Italia Srl,https://www.neosflex.com
10,1,,1547809188,23015906436,,0.0,"{""industrial"":""factory"",""landuse"":""industrial"",""type"":""multipolygon""}",,,,,Zona Artigianale di Dogliola,,"MULTIPOLYGON (((14.6647653 41.9495098, 14.6660552 41.949544, 14.6662778 41.9494704, 14.666286 41.9492926, 14.6661541 41.9490289, 14.6654533 41.9491209, 14.6653297 41.9487408, 14.6659398 41.9486181, 14.6654286 41.9476186, 14.6642826 41.9478271, 14.6647653 41.9495098)), ((14.664126 41.9472753, 14.6651071 41.9471036, 14.6648762 41.9466498, 14.6639776 41.9468092, 14.664126 41.9472753)), ((14.6646289 41.9494888, 14.6640518 41.9494704, 14.6639446 41.9490351, 14.6640848 41.9489676, 14.6639116 41.9484955, 14.6642991 41.9483851, 14.6646289 41.9494888)), ((14.6626008 41.947496, 14.6633263 41.9473243, 14.6630047 41.9466191, 14.6624938 41.9467936, 14.6624441 41.947079, 14.6626008 41.947496)))",relation,,
11,1,,1547809347,23034369022,,0.0,"{""industrial"":""factory"",""landuse"":""industrial"",""type"":""multipolygon""}",,,,,Zona Industriale di Lentella,,"MULTIPOLYGON (((14.7142306 41.9952726, 14.7135269 41.9945954, 14.7136713 41.9943607, 14.7144381 41.9941529, 14.7152591 41.9939987, 14.7153042 41.9937774, 14.713545 41.9921212, 14.7149885 41.9916652, 14.716441 41.9930599, 14.7160079 41.9942467, 14.7165492 41.9947697, 14.7168289 41.9953933, 14.7168199 41.9958224, 14.7166665 41.9959565, 14.7151238 41.9962113, 14.7142306 41.9952726)), ((14.7174926 41.9975199, 14.718426 41.9966508, 14.7192307 41.997193, 14.7203572 41.9997364, 14.7202499 42.0000872, 14.7202928 42.0003105, 14.7206254 42.0005337, 14.720722 42.000765, 14.7209795 42.0012194, 14.7198315 42.0017137, 14.7195847 42.0005736, 14.719338 42.0003902, 14.7186942 41.9995849, 14.7181793 41.9991305, 14.7179647 41.9989551, 14.7178574 41.9982694, 14.7177394 41.9978707, 14.7174926 41.9975199)), ((14.7150293 41.997978, 14.715742 41.9975221, 14.71659 41.9982529, 14.716563 41.9983467, 14.7161389 41.9985848, 14.7160487 41.9986082, 14.7156608 41.9985512, 14.7151646 41.9981255, 14.7150293 41.997978)))",relation,,
12,1,,1620896406,85732698966,,0.0,"{""industrial"":""factory"",""landuse"":""industrial"",""type"":""multipolygon""}",Pescara,108,65128,Via Raiale,Fater,+39 085 355 3862,"MULTIPOLYGON (((14.1812051 42.4421949, 14.1806683 42.4424833, 14.1805601 42.442813, 14.1810263 42.44327, 14.181025 42.4435857, 14.1825951 42.4441281, 14.1825816 42.4445169, 14.1847363 42.4451582, 14.1856758 42.4454186, 14.1812051 42.4421949)), ((14.1812051 42.4421949, 14.1829035 42.4412874, 14.1835245 42.4409411, 14.1842764 42.4404519, 14.1812051 42.4421949)), ((14.1842764 42.4404519, 14.184402207232946 42.44062417103141, 14.1843884 42.4405363, 14.1843837 42.440527, 14.1843605 42.4404804, 14.1842764 42.4404519)), ((14.184592638682574 42.44088493363999, 14.186977 42.4441499, 14.1875868 42.4437798, 14.187086 42.4432262, 14.1856591 42.441361, 14.1855164 42.4412297, 14.1852541 42.4410879, 14.1849117 42.4409598, 14.1847235 42.4409242, 14.184592638682574 42.44088493363999)), ((14.186977 42.4441499, 14.186230667981317 42.44487759092538, 14.187199 42.4443681, 14.186977 42.4441499)))",relation,,https://fatergroup.com/
13,2,,1620935251,86126612310,,0.0,"{""industrial"":""factory"",""landuse"":""industrial"",""type"":""multipolygon""}",,,,,Fameccanica Data,,"MULTIPOLYGON (((14.1650982 42.4141263, 14.1631424 42.4150196, 14.165657329490527 42.41793596819534, 14.1650982 42.4141263)), ((14.1657054 42.4182635, 14.1657042 42.4182833, 14.165759 42.4184593, 14.1658444 42.4187972, 14.1658686 42.4191322, 14.1658622 42.4202936, 14.1658826 42.4203322, 14.1659234 42.4203491, 14.1659706 42.4203586, 14.166028 42.4203698, 14.1660675 42.4203746, 14.1666552 42.4203708, 14.1667011 42.4203633, 14.166747 42.4203435, 14.1667738 42.4203237, 14.1667955 42.4202889, 14.166798 42.4202644, 14.1668031 42.4202353, 14.1667993 42.4202183, 14.1667904 42.4201957, 14.1667419 42.4200932, 14.1666756 42.42, 14.165937920194676 42.41867967328186, 14.1659632 42.4186555, 14.1660555 42.4185857, 14.1660643 42.4185736, 14.1660895 42.4185249, 14.1660236 42.4184292, 14.166018200313333 42.41834678114624, 14.165926580062536 42.4186593762921, 14.1657054 42.4182635), (14.165907704601263 42.41872377665684, 14.1658885 42.4187893, 14.1658907 42.418769, 14.1658973 42.4187423, 14.165907704601263 42.41872377665684), (14.16621498124465 42.41932126995531, 14.1661947 42.4192933, 14.1661735 42.4192642, 14.1661325 42.4192049, 14.1660679 42.4191084, 14.16621498124465 42.41932126995531)), ((14.1660808 42.4181332, 14.1661071 42.4181097, 14.1661368 42.4180894, 14.166329 42.4179629, 14.1665587 42.4178225, 14.1668004 42.4176684, 14.166897 42.4176052, 14.1669245 42.4175817, 14.1670322 42.4174762, 14.1671047 42.4173635, 14.1671234 42.4173148, 14.167131 42.4172572, 14.1671332 42.417194, 14.1671288 42.4171421, 14.1671157 42.4170869, 14.1671003 42.417048, 14.1670772 42.4170014, 14.1667914 42.4165691, 14.1667365 42.4165252, 14.1660808 42.4181332)), ((14.1667365 42.4165252, 14.1667315 42.4164767, 14.1664387 42.4160861, 14.1661212 42.4156108, 14.165779873881498 42.41512444898024, 14.1667365 42.4165252)))",relation,,https://www.fameccanica.com
