,lat,timestamp,changeset,lon,id,version,tags,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,geometry,osm_type
0,44.545387,1376131496,0.0,10.807001,1973867016,4,"{""entrance"":""yes"",""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,54,41042,Via Braida,Emil Ceramica - Stabilimento di Fiorano 1,POINT (10.807001113891602 44.545387268066406),node
1,44.544727,1362653201,0.0,10.807148,2081125617,2,"{""factory"":""automation"",""industrial"":""factory"",""shop"":""trade"",""trade"":""tile; parquet""}",Fiorano Modenese,IT,22,41042,Via Braida,Prologic,POINT (10.807147979736328 44.54472732543945),node
2,44.544346,1376072324,0.0,10.81028,2082504339,3,"{""entrance"":""yes"",""factory"":""dressmaker"",""industrial"":""factory""}",Fiorano Modenese,IT,8c,41042,Via Braida,Maglificio Vienna S.r.l.,POINT (10.810279846191406 44.54434585571289),node
3,44.545868,1376140609,0.0,10.811574,2245943844,2,"{""factory"":""wood display, metal display, showrooms"",""industrial"":""factory""}",Fiorano Modenese,IT,20,41042,Via Ghiarola Nuova,Polcart spa,POINT (10.81157398223877 44.545867919921875),node
4,44.546623,1376140607,0.0,10.811438,2246449646,2,"{""factory"":""electric vibrators"",""industrial"":""factory""}",Fiorano Modenese,IT,22,41042,Via Ghiarola Nuova,Italvibras G. Silingardi Spa,POINT (10.811437606811523 44.54662322998047),node
5,44.54777,1376140607,0.0,10.812158,2248158138,2,"{""factory"":""industrial painting"",""industrial"":""factory""}",Fiorano Modenese,IT,36,41042,Via Ghiarola Nuova,Bartoli Luca,POINT (10.81215763092041 44.54777145385742),node
6,44.54769,1367737082,0.0,10.811575,2248158145,2,"{""factory"":""metal_construction"",""industrial"":""factory""}",Fiorano Modenese,IT,40,41042,Via Ghiarola Nuova,Cemic srl,POINT (10.811574935913086 44.547691345214844),node
7,44.54777,1365076490,0.0,10.8119955,2248158152,1,"{""factory"":""industrial painting"",""industrial"":""factory""}",Fiorano Modenese,IT,36a,41042,Via Ghiarola Nuova,FIM teloneria snc,POINT (10.811995506286621 44.54777145385742),node
8,44.55244,1365331685,0.0,10.811258,2254742413,1,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,116,41042,Via Ghiarola Nuova,ALCO ceramiche spa,POINT (10.811258316040039 44.55244064331055),node
9,44.55238,1365331687,0.0,10.810476,2254742545,1,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,77,41042,Via Ghiarola Nuova,Savoia Italia spa,POINT (10.810476303100586 44.5523796081543),node
10,44.55093,1365334005,0.0,10.812301,2254825007,2,"{""factory"":""automation"",""industrial"":""factory""}",Fiorano Modenese,IT,94,41042,Via Ghiarola Nuova,TSC spa,POINT (10.812300682067871 44.55093002319336),node
11,44.550846,1365355807,0.0,10.814201,2255836069,1,"{""factory"":""metal_construction"",""industrial"":""factory""}",Fiorano Modenese,IT,116r,41042,Via Ghiarola Nuova,BCF srl,POINT (10.814201354980469 44.550846099853516),node
12,44.551563,1376140608,0.0,10.816207,2255836101,2,"{""factory"":""metal_construction"",""industrial"":""factory""}",Fiorano Modenese,IT,118f,41042,Via Ghiarola Nuova,Lb Officine Meccaniche Spa,POINT (10.816206932067871 44.55156326293945),node
13,44.550995,1376140610,0.0,10.813233,2255836223,2,"{""factory"":""automation"",""industrial"":""factory""}",Fiorano Modenese,IT,116c,41042,Via Ghiarola Nuova,Robotyle,POINT (10.813233375549316 44.550994873046875),node
14,44.551422,1376140610,0.0,10.813404,2255836248,2,"{""factory"":""painting"",""industrial"":""factory""}",Fiorano Modenese,IT,116d,41042,Via Ghiarola Nuova,Silver verniciatura industriale,POINT (10.813404083251953 44.551422119140625),node
15,44.554245,1365422461,0.0,10.810411,2258093204,1,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,85,41042,Via Ghiarola Nuova,Bayker Italia Spa,POINT (10.81041145324707 44.55424499511719),node
16,44.554554,1365429833,0.0,10.810901,2258263896,1,"{""factory"":""brick"",""industrial"":""factory""}",Fiorano Modenese,IT,120,41042,Via Ghiarola Nuova,Fornace SILA,POINT (10.810900688171387 44.5545539855957),node
17,44.556274,1376148526,0.0,10.810879,2258412418,2,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,89,41042,Via Ghiarola Nuova,Riwal ceramica spa,POINT (10.81087875366211 44.5562744140625),node
18,44.557335,1376148526,0.0,10.811725,2259707583,2,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,138,41042,Via Ghiarola Nuova,Thema srl,POINT (10.811724662780762 44.557334899902344),node
19,44.557518,1376148525,0.0,10.812056,2260062571,2,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,140,41042,Via Ghiarola Nuova,Polo logistico ABK group spa,POINT (10.812055587768555 44.557518005371094),node
20,44.562088,1365593681,0.0,10.810897,2261427725,1,"{""factory"":""metal_construction"",""industrial"":""factory""}",Fiorano Modenese,IT,8,41042,Via Enrico Mattei,Intema,POINT (10.810896873474121 44.56208801269531),node
21,44.56203,1365593682,0.0,10.811672,2261427737,1,"{""factory"":""coding solutions"",""industrial"":""factory""}",Fiorano Modenese,IT,2,41042,Via Enrico Mattei,Topjet,POINT (10.81167221069336 44.56203079223633),node
22,44.561256,1365611557,0.0,10.810085,2261763873,1,"{""factory"":""automation"",""industrial"":""factory""}",Fiorano Modenese,IT,30,41042,Via Enrico Mattei,Cooltech srl,POINT (10.81008529663086 44.561256408691406),node
23,44.560886,1365611557,0.0,10.809973,2261763887,1,"{""factory"":""automation"",""industrial"":""factory""}",Fiorano Modenese,IT,46,41042,Via Enrico Mattei,Mectronic srl,POINT (10.809972763061523 44.56088638305664),node
24,44.561672,1365611557,0.0,10.810276,2261763899,1,"{""factory"":""automation"",""industrial"":""factory""}",Fiorano Modenese,IT,22,41042,Via Enrico Mattei,Unitech snc,POINT (10.81027603149414 44.56167221069336),node
25,44.563183,1365614547,0.0,10.812702,2261810803,1,"{""factory"":""tile"",""industrial"":""factory""}",Fiorano Modenese,IT,119,41042,Via Ghiarola Nuova,IRIS ceramica spa,POINT (10.812702178955078 44.56318283081055),node
