,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,start_date,wikipedia,geometry,osm_type,building,social_facility,source
0,0.0,8.938236,237298943,1480171537,44.411255,"{""wikidata"":""Q3981969""}",7,Genova,,6,,Via Nicolò Bacigalupo,,Teatro Duse,,,,,,theatre,,,,it:Teatro Duse (Genova),POINT (8.938236236572266 44.4112548828125),node,,,
1,0.0,8.948103,237300388,1480171537,44.404526,,5,,,,,,,Teatro della Corte,,,,,,theatre,,,,,POINT (8.948102951049805 44.40452575683594),node,,,
2,0.0,8.931825,242693780,1480021310,44.404953,"{""wheelchair"":""yes"",""wikidata"":""Q3982309""}",6,,,,,,,Teatro della Tosse,,,,,,theatre,,,,it:Teatro della Tosse,POINT (8.931824684143066 44.40495300292969),node,,,
3,0.0,8.921479,252806062,1629689163,44.408222,"{""brand"":""The Space Cinema"",""brand:wikidata"":""Q3989406"",""brand:wikipedia"":""it:The Space Cinema"",""wheelchair"":""yes"",""wikidata"":""Q37155803""}",7,,,,,,,The Space Cinema,,,,,https://www.thespacecinema.it/cinema/genova,cinema,,,,,POINT (8.921479225158691 44.40822219848633),node,,,
4,0.0,8.932326,253266745,1381832781,44.408646,,5,,,,,,,Ariston,,,+39 010 2473549,http://www.circuitocinemagenova.com/,,cinema,,,,,POINT (8.932326316833496 44.40864562988281),node,,,
5,0.0,8.879978,253267452,1493706630,44.413544,"{""level"":""2"",""ref:vatin"":""IT04342801000"",""wheelchair"":""yes""}",5,,,,,,,UCI Cinemas Fiumara,,,,,,cinema,,,,,POINT (8.87997817993164 44.413543701171875),node,,,
6,0.0,8.942131,253268182,1637937945,44.406452,,9,Genova,,11,16121,Via Colombo,,America,,,+39 010 4559703,https://circuitocinemagenova.com/america/,,cinema,,,,,POINT (8.942131042480469 44.40645217895508),node,,,
7,0.0,8.935676,253486101,1261087060,44.40671,"{""created_by"":""Potlatch 0.7b""}",3,,,,,,,Olimpia,,,,,,cinema,,,,,POINT (8.935675621032715 44.40671157836914),node,,,
8,0.0,8.934425,253486824,1550486718,44.409176,"{""wikidata"":""Q37155711""}",8,,,,,,,City,,,+39 010 8690073,http://www.circuitocinemagenova.com/,,cinema,,,,,POINT (8.934425354003906 44.409175872802734),node,,,
9,0.0,8.958911,254565440,1210529497,44.40807,"{""created_by"":""Potlatch 0.9""}",2,,,,,,,Teatro Garage,,,,,,theatre,,,,,POINT (8.958910942077637 44.4080696105957),node,,,
10,0.0,8.900963,269904280,1481222139,44.458103,"{""wikidata"":""Q3982117""}",4,,,,,,,Teatro Rina e Gilberto Govi,,,,,,theatre,,,,it:Teatro Rina e Gilberto Govi,POINT (8.900962829589844 44.45810317993164),node,,,
11,0.0,8.8499975,302324772,1550486709,44.426422,"{""description:en"":""Film shows, theatre, concerts, conferences"",""description:it"":""Proiezioni cinematografiche,  spettacoli teatrali, intrattenimenti musicali,conferenze"",""wheelchair"":""yes"",""wikidata"":""Q16612535""}",6,,,,,,,Cinema teatro Verdi,,,,,,cinema,,,,,POINT (8.849997520446777 44.426422119140625),node,,,
12,0.0,8.852009,303163729,1223499472,44.42969,"{""created_by"":""Potlatch 0.10d""}",1,,,,,,,San Giovanni Battista,,,,,,cinema,,,,,POINT (8.852008819580078 44.429691314697266),node,,,
13,0.0,8.932259,310450475,1553361543,44.407406,"{""tourism"":""museum"",""wikidata"":""Q18785499""}",6,,,34 rosso,,Via Tommaso Reggio,,Louisiana Jazz Club,,,,,https://www.italianjazzinstitute.com/,nightclub,,,,it:Museo del jazz di Genova,POINT (8.932258605957031 44.407405853271484),node,,,
14,0.0,8.94931,311614752,1481031099,44.39785,"{""wheelchair"":""yes""}",5,,,,,,,cinema teatro Instabile,,,,,,theatre,,,,,POINT (8.949310302734375 44.397850036621094),node,,,
15,0.0,9.160622,401617438,1242491053,44.51983,,1,,,,,,,,,,,,,fountain,,,,,POINT (9.160621643066406 44.51982879638672),node,,,
16,0.0,9.263565,413351118,1381929359,44.336227,"{""note"":""open on summer""}",2,,,,,,,Pietra di Luna,,,+39 347 6441909,,,nightclub,,,,,POINT (9.263565063476562 44.33622741699219),node,,,
17,0.0,8.936975,413995262,1550486718,44.40989,"{""wikidata"":""Q37155757""}",6,,,,,,,Sìvori,,,+39 010 5532054,http://www.circuitocinemagenova.com/,,cinema,,,,,POINT (8.93697452545166 44.409889221191406),node,,,
18,0.0,8.941399,413995838,1525602215,44.406235,,4,,,,,,,Nickelodeon,,,+39 010 589640,http://www.cineclubnickelodeon.it/,,cinema,,,,,POINT (8.941398620605469 44.40623474121094),node,,,
19,0.0,8.811655,414576642,1243931013,44.42459,,1,,,,,,,Tabarca Night Club,,,,,,nightclub,,,,,POINT (8.811655044555664 44.424591064453125),node,,,
20,0.0,9.129226,415309128,1244033478,44.507824,,1,,,,,,,,,,,,,fountain,,,,,POINT (9.129225730895996 44.5078239440918),node,,,
21,0.0,8.774821,442709467,1366289394,44.427456,,2,,,,,,,Nuovo Cinema Palmaro,,,,http://www.nuovocinemapalmaro.it/,,cinema,,,,,POINT (8.774821281433105 44.42745590209961),node,,,
22,0.0,8.93214,458808530,1443384725,44.403122,,3,,,,,,,,,,,,,fountain,,,,,POINT (8.932140350341797 44.40312194824219),node,,,
23,0.0,8.949689,479936738,1520885019,44.397743,"{""wheelchair"":""limited""}",6,,,7 rosso,,Via Antonio Cecchi,,Discoteca Cezanne,,,,,http://www.cezannedisco.it/,nightclub,,,,,POINT (8.949688911437988 44.397743225097656),node,,,
24,0.0,8.929284,504657840,1565777137,44.40797,,5,,,,,,,Lucrezia social bar,,,,,,nightclub,,,,,POINT (8.92928409576416 44.4079704284668),node,,,
25,0.0,8.951637,505063816,1253619042,44.39335,,2,,,,,,,Mako,,,,http://www.makogenova.com/,,nightclub,,,,,POINT (8.951637268066406 44.393348693847656),node,,,
26,0.0,8.8901615,506626158,1559373850,44.411583,"{""gay"":""welcome"",""lgbtq"":""welcome""}",4,,,13 rosso,,Via Alfredo Carzino,,Virgo Club,,,,,http://www.virgoclub.com/,nightclub,,,,,POINT (8.890161514282227 44.411582946777344),node,,,
27,0.0,8.955762,523212284,1575394586,44.39234,,2,,,,,,,Astoria,,,,,,stripclub,,,,,POINT (8.955761909484863 44.39234161376953),node,,,
28,0.0,8.946376,524074350,1642937266,44.3994,,2,,,28r,,Via Camillo Finocchiaro Aprile,,Orchidea Club,,,,,,stripclub,,,,,POINT (8.946375846862793 44.39939880371094),node,,,
29,0.0,8.904794,549481425,1257031507,44.404785,,1,,,,,,,,,,,,,fountain,,,,,POINT (8.904793739318848 44.40478515625),node,,,
30,0.0,8.984679,679380567,1631505184,44.39304,"{""brand"":""Acqua & Sapone"",""brand:wikidata"":""Q51079044"",""brand:wikipedia"":""it:Acqua & Sapone (azienda)"",""shop"":""chemist""}",5,,,,,,,Acqua & Sapone,,,,,,nightclub,,,,,POINT (8.984679222106934 44.39303970336914),node,,,
31,0.0,8.948846,679388674,1579804729,44.39458,,2,,,,,,,Discoteca Time,,,,,,nightclub,,,,,POINT (8.948845863342285 44.39458084106445),node,,,
32,0.0,8.670305,686595637,1270562529,44.562218,,1,,,,,,,Cinema Comunale,,,,,,cinema,,,,,POINT (8.670305252075195 44.562217712402344),node,,,
33,0.0,9.213656,727780799,1487278008,44.333996,"{""historic"":""monument""}",4,,,,,,,Cristoforo Colombo,,,,,,fountain,,,1892,,POINT (9.213656425476074 44.3339958190918),node,,,
34,0.0,9.235388,731254641,1287408957,44.348057,,2,,,,,,,Auditorium delle Clarisse,,,,,,theatre,,,,,POINT (9.235387802124023 44.34805679321289),node,,,
35,0.0,8.937316,750786139,1506028460,44.412453,"{""alt_name"":""Cineclub Charles Chaplin"",""wikidata"":""Q37155671""}",3,,,,,,,Cinema Cappuccini,,,+39 010 880069,,,cinema,,,,,POINT (8.937315940856934 44.412452697753906),node,,,
36,0.0,8.924419,767507751,1379970228,44.41506,,2,,,137,,Via di Pré,,Laboratorio Sociale di Via Prè,,,,,,community_centre,,,,,POINT (8.924419403076172 44.41505813598633),node,,,
37,0.0,9.492421,842024708,1446601589,44.237503,,3,,,,,,,,,,,,,fountain,,,,,POINT (9.49242115020752 44.23750305175781),node,,,
38,0.0,8.931623,880840628,1331482275,44.408962,,2,,,,,,,,,,,,,fountain,,,,,POINT (8.931623458862305 44.40896224975586),node,,,
39,0.0,8.910437,882425354,1535953404,44.41721,,3,,,107 rosso,,Via Venezia,,Il Mondo Night Pub,,,,,,nightclub,,,,,POINT (8.910436630249023 44.41720962524414),node,,,
40,0.0,8.944859,897271247,1550486717,44.40681,"{""min_age"":""18"",""wikidata"":""Q37155691""}",5,,,,,,,Cinema Centrale,,,,,,cinema,,,,,POINT (8.94485855102539 44.40681076049805),node,,,
41,0.0,8.894302,966304779,1418880807,44.409584,"{""min_age"":""18""}",3,,,,,,,Cinema Eldorado,,,,,,cinema,,,,,POINT (8.894302368164062 44.409584045410156),node,,,
42,0.0,8.643251,1119301522,1618384982,44.38795,,6,,,,,,,Fontana del delfino,,,,,,fountain,no,decorative,,,POINT (8.643251419067383 44.3879508972168),node,,,
43,0.0,8.930553,1133646682,1333219546,44.40384,,2,,,,,,,261,,,,,,nightclub,,,,,POINT (8.930553436279297 44.403839111328125),node,,,
44,0.0,8.930375,1133646697,1521918174,44.404053,,2,,,46 rosso,,Piazza Sarzano,,Quaalude,,,,,,nightclub,,,,,POINT (8.930375099182129 44.404052734375),node,,,
45,0.0,8.681893,1176899930,1298802894,44.40106,,1,,,,,,,,,,,,,fountain,,,,,POINT (8.681893348693848 44.401058197021484),node,,,
46,0.0,8.954567,1219354970,1631253771,44.40185,,3,,,,,,,,,,,,,fountain,,,,,POINT (8.954566955566406 44.401851654052734),node,,,
47,0.0,8.9546795,1219355006,1631253771,44.40211,,2,,,,,,,,,,,,,fountain,,,,,POINT (8.954679489135742 44.4021110534668),node,,,
48,0.0,8.750021,1377933953,1633560055,44.430706,"{""description"":""Teatro storico del 1786""}",5,Genova,,4,16158,Vico Nicolò da Corte,,Teatro Storico di Villa Duchessa di Galliera,,Teatro della Tosse,,,,theatre,,,,,POINT (8.750020980834961 44.43070602416992),node,,,
49,0.0,8.749956,1377934154,1633560055,44.43019,,5,,,,,,,Ninfeo settecentesco,,,,,,fountain,no,,,,POINT (8.749956130981445 44.43019104003906),node,,,
50,0.0,8.750135,1378849896,1633560055,44.430027,"{""description"":""fontana circolare con laghetto e zampillo centrale""}",7,,,,,,,,,,,,,fountain,no,,,,POINT (8.75013542175293 44.43002700805664),node,,,
51,0.0,8.664884,1426740528,1527097474,44.402245,,6,,,,,,,"Teatro ""Il Sipario Strappato""",,,,,,theatre,,,,,POINT (8.664883613586426 44.402244567871094),node,,,
52,0.0,8.89465,1470967922,1332660223,44.430096,,2,,,,,,,Teatro S.O.C,,,,,,theatre,,,,,POINT (8.89465045928955 44.43009567260742),node,,,
53,0.0,8.935651,1475155753,1487520132,44.40954,"{""wheelchair"":""limited"",""wikidata"":""Q20008542""}",4,,,36 rosso,,Via San Sebastiano,,Louisiana Jazz Club,,,,http://www.louisianajazzclub.com/,,nightclub,,,,,POINT (8.935650825500488 44.40953826904297),node,,,
54,0.0,8.891741,1529901945,1480171539,44.435146,"{""wikidata"":""Q3981896""}",5,Genova,,8,,Via Gio Batta Roggerone,,Cinema Albatros,,,+39 010 7491662,,http://www.albatroscinema.it/,theatre,,,,it:Teatro Albatros,POINT (8.891740798950195 44.43514633178711),node,,,
55,0.0,8.933221,1635105435,1552256295,44.40728,"{""community_center:for"":""senior"",""contact:website"":""http://www.creamcafe.altervista.org/index.html"",""description"":""Progetto culturale per preservare le capacit\u00E0 cognitive in persone anziane.""}",3,,,72 rosso,,Piazza Giacomo Matteotti,,Creamcafè CreativeMindCafe,,,,,,community_centre,,,,,POINT (8.933220863342285 44.40727996826172),node,,,
56,0.0,8.818767,1716758588,1463832012,44.439304,,2,,,,,,,"Sede ricreativa parrocchiale ""San Nicola""",,,,,,community_centre,,,,,POINT (8.818766593933105 44.43930435180664),node,,,
57,0.0,8.814309,1718243680,1334520430,44.424458,,2,,,,,,,Centro Culturale Pegliese,,,,,,community_centre,,,,,POINT (8.814309120178223 44.42445755004883),node,,,
58,0.0,8.82149,1718443227,1334520152,44.42571,,1,,,,,,,"Centro Sociale Maria Luisa Monaco ""Ghighi""",,,,,,community_centre,,,,,POINT (8.821490287780762 44.42570877075195),node,,,
