,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:housename,addr:postcode,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,gambling,internet_access,office,source,start_date,wikipedia,geometry,osm_type,addr:place,building,building:levels,landuse,library
0,0.0,9.15463,29978509,1642276533,45.452396,"{""screen"":""4"",""wheelchair"":""yes"",""wikidata"":""Q107289743""}",7,,,,,,,,Ducale,,,,,,cinema,,,,,,,,,POINT (9.154629707336426 45.452396392822266),node,,,,,
1,0.0,9.216144,250051812,1348253061,45.52194,"{""wheelchair"":""limited""}",6,,,,,,,,Europlex Bicocca,,,,,,cinema,,,,,,,,,POINT (9.216143608093262 45.52193832397461),node,,,,,
2,0.0,9.194629,251291809,1488657535,45.47111,"{""wikidata"":""Q3982043""}",4,Milano,IT,42,,,Via Alessandro Manzoni,info@teatromanzoni.it,Teatro Manzoni,,,+39 02 7636901,,http://www.teatromanzoni.it/manzoni/,theatre,,,,,,,1960,it:Teatro Manzoni (Milano),POINT (9.194628715515137 45.47111129760742),node,,,,,
3,0.0,9.192365,251293086,1635981904,45.465122,"{""brand"":""The Space Cinema"",""brand:wikidata"":""Q3989406"",""brand:wikipedia"":""it:The Space Cinema"",""wheelchair"":""yes""}",9,Milano,IT,8,,20121,Via Santa Radegonda,,The Space Cinema Odeon,,The Space Cinema,,,https://www.thespacecinema.it/al-cinema/milano-odeon,cinema,,,,,,,,,POINT (9.192364692687988 45.46512222290039),node,,,,,
4,0.0,9.198601,251899002,1481322994,45.4598,,6,,,,,,,,,,,,,,fountain,,,,,,,,,POINT (9.198600769042969 45.459800720214844),node,,,,,
5,0.0,9.164488,252635403,1225730786,45.48924,"{""created_by"":""Potlatch 0.10f""}",2,,,,,,,,OutOff,,,,,,theatre,,,,,,,,,POINT (9.164487838745117 45.48923873901367),node,,,,,
6,0.0,9.164539,252635404,1532423492,45.487976,,4,,,4,,,Via Domenico Cucchiari,,Teatro della Memoria,,,,,,theatre,,,,,,,,,POINT (9.164539337158203 45.48797607421875),node,,,,,
7,0.0,9.240543,255138301,1470958320,45.487995,,4,,,,,,,,Garden,,,,,,cinema,,,,,,,,,POINT (9.240543365478516 45.48799514770508),node,,,,,
8,0.0,9.160182,256234964,1580723683,45.493572,"{""studio"":""radio"",""wikidata"":""Q3928791""}",2,Milano,,5,,20155,Via Ulderico Ollearo,,Radio Popolare,,,,,https://www.radiopopolare.it/,studio,,,,,,,,it:Radio Popolare,POINT (9.160181999206543 45.49357223510742),node,,,,,
9,0.0,9.202023,258034830,1246292210,45.448246,"{""created_by"":""JOSM""}",2,,,,,,,,Teatro Sant'Andrea,,,,,,theatre,,,,,,,,,POINT (9.202022552490234 45.448246002197266),node,,,,,
10,0.0,9.422502,261666496,1209767150,45.50018,"{""created_by"":""Potlatch 0.8c""}",1,,,,,,,,Teatro Trivulzio,,,,,,theatre,,,,,,,,,POINT (9.422501564025879 45.500179290771484),node,,,,,
11,0.0,9.161861,268616396,1350858420,45.46655,,2,,,,,,,,Gloria,,,,,,cinema,,,,,,,,,POINT (9.161861419677734 45.466548919677734),node,,,,,
12,0.0,9.169526,268616425,1640620971,45.456944,"{""screen"":""3"",""wheelchair"":""limited"",""wikidata"":""Q37158536""}",7,Milano,IT,50,,,Viale Coni Zugna,info@orfeomultisala.com,Orfeo,,,+39 02 89403039,,http://www.orfeomultisala.com/,cinema,,,,,,,,,POINT (9.169526100158691 45.45694351196289),node,,,,,
13,0.0,9.212114,279829028,1444465785,45.502296,,2,,,,,,,,Greco,,,,,,theatre,,,,,,,,,POINT (9.212114334106445 45.502296447753906),node,,,,,
14,0.0,9.184771,281885884,1510943341,45.466644,"{""wikidata"":""Q371138""}",6,Milano,IT,2/B,,20121,Via Rovello,,Piccolo Teatro Grassi,,Piccolo Teatro,,,,theatre,,,,,,,,it:Piccolo Teatro (Milano),POINT (9.184770584106445 45.466644287109375),node,,,,,
15,0.0,9.161566,282017584,1269976066,45.471172,,2,,,,,,,,,,,,,,fountain,,,,,,,,,POINT (9.161565780639648 45.47117233276367),node,,,,,
