,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,website,amenity,drinking_water,internet_access,start_date,theatre,wikipedia,geometry,osm_type,building,building:levels,gambling,source
0,0.0,13.346234,267186897,1211935000,38.124306,"{""created_by"":""Potlatch 0.9b""}",1,,,,,,Dante,,,,,cinema,,,,,,POINT (13.346234321594238 38.124305725097656),node,,,,
1,0.0,13.35697,268695044,1625922548,38.124676,,4,Palermo,160,90139,Via Emerico Amari,,Al Politeama Multisala,,,+39 091 274 7799,https://alpoliteama.it/,cinema,,,,,,POINT (13.356969833374023 38.12467575073242),node,,,,
2,0.0,13.368534,268957825,1489237027,38.116856,"{""wikidata"":""Q3982035""}",5,,,,,,Teatro Libero,,,,,theatre,,,,,it:Teatro Libero (Palermo),POINT (13.368534088134766 38.11685562133789),node,,,,
3,0.0,13.357327,268982152,1215443217,38.110912,"{""created_by"":""Potlatch 0.9c""}",2,,,,,,teatro delle Balate,,,,,theatre,,,,,,POINT (13.357327461242676 38.11091232299805),node,,,,
4,0.0,13.372366,268983537,1489237027,38.117058,"{""capacity"":""52"",""contact:email"":""spettacoli@teatroditirammu.it"",""contact:phone"":""+39 09 16177865"",""wikidata"":""Q3981962""}",5,,6,,Via Torremuzza,,Teatro Ditirammu,,,,http://teatroditirammu.it,theatre,,,1998,,it:Teatro Ditirammu,POINT (13.372365951538086 38.11705780029297),node,,,,
5,0.0,13.349232,271672159,1539357490,38.133118,"{""disused"":""yes""}",5,,,,,,Fiamma (non attivo dal 2015 ),,,,,cinema,,,,,,POINT (13.349231719970703 38.13311767578125),node,,,,
6,0.0,13.345546,277642730,1613673096,38.136837,,3,Palermo,5,90144,Via Luigi Pirandello,,Cinema Ariston,,,+39 091 625 8547,http://www.arlecchinoariston.it/,cinema,,,,,,POINT (13.345545768737793 38.136837005615234),node,,,,
7,0.0,13.446209,412327779,1614791317,38.076626,,3,,,,,,Cine Ambassador,,,,,cinema,,,,,,POINT (13.446208953857422 38.07662582397461),node,,,,
8,0.0,13.342863,573760497,1369169703,38.13083,,2,,,,,,Jolly,,,,,theatre,,,,,,POINT (13.342863082885742 38.130828857421875),node,,,,
9,0.0,13.345148,573760502,1614617799,38.130527,,4,Palermo,32,90141,Via Damiani Almeyda,,Cinema Gaudium,,,+39 091 341535,http://www.cinemagaudium.it/,cinema,,,,,,POINT (13.345148086547852 38.13052749633789),node,,,,
10,0.0,13.344897,573760503,1259445546,38.12965,,1,,,,,,Golden,,,,,cinema,,,,,,POINT (13.344897270202637 38.1296501159668),node,,,,
11,0.0,13.340811,618709524,1596636569,38.1069,"{""wheelchair"":""yes""}",7,Palermo,12,90129,Via Cuba,,Cinema Multisala Marconi,,,+39 091 421574,http://www.cinemarconipalermo.it,cinema,,,,,,POINT (13.340810775756836 38.10689926147461),node,,,,
12,0.0,14.043409,1510474903,1502558377,37.781982,,3,,,,,,,,,,,fountain,,,,,,POINT (14.04340934753418 37.781982421875),node,,,,
13,0.0,14.044402,1510485538,1321826553,37.78997,,2,,,,,,Anfiteatro,,,,,theatre,,,,,,POINT (14.044402122497559 37.78997039794922),node,,,,
14,0.0,13.569386,1523680869,1552381274,37.92231,,2,,,,,,,,,,,fountain,,,,,,POINT (13.569385528564453 37.92230987548828),node,,,,
15,0.0,14.087585,1834782149,1400754825,37.932487,,2,,,,,,,,,,,fountain,,,,,,POINT (14.08758544921875 37.93248748779297),node,,,,
16,0.0,13.51243,1871572712,1470344141,38.078873,,2,,,,,,,,,,,fountain,,,,,,POINT (13.512430191040039 38.07887268066406),node,,,,
17,0.0,14.143536,2264288543,1381916077,37.992336,,2,,,,,,Teatro Pietra Rosa,,,,,theatre,,,,,,POINT (14.143535614013672 37.99233627319336),node,,,,
18,0.0,14.161267,2264944540,1537955010,38.02019,,3,,,,,,,,,,,fountain,,,,,,POINT (14.161267280578613 38.02019119262695),node,,,,
19,0.0,14.158826,2264944806,1569003562,38.019215,,2,,,,,,Centro Sociale,,,,,community_centre,,,,,,POINT (14.158825874328613 38.01921463012695),node,,,,
20,0.0,13.448489,2408310543,1375740344,38.03221,,1,,,,,,Fontana Nova,,,,,fountain,,,1772,,,POINT (13.44848918914795 38.03221130371094),node,,,,
21,0.0,13.456062,2408892752,1375796279,37.96466,,1,,,,,,,,,,,fountain,,,,,,POINT (13.456062316894531 37.96466064453125),node,,,,
22,0.0,13.364968,2419100589,1489237061,38.11795,"{""wikidata"":""Q3747352""}",3,,,,,,Fontana del Garraffello,,,,,fountain,,,1591,,it:Fontana del Garraffello,POINT (13.364968299865723 38.117950439453125),node,,,,
23,0.0,14.005388,2460978648,1443358581,37.94255,,2,,,,,,,,,,,fountain,,,,,,POINT (14.005388259887695 37.94255065917969),node,,,,
24,0.0,13.333651,2505339869,1489237063,38.16074,"{""wikidata"":""Q3982335""}",3,,,,,,Teatro di Verdura,,,,,theatre,,,,,it:Teatro di Verdura,POINT (13.333650588989258 38.16073989868164),node,,,,
25,0.0,13.357908,2622791015,1516581912,38.119728,"{""wikidata"":""Q3982208""}",3,,,,,,al Massimo,,,,,theatre,,,,,it:Teatro al Massimo,POINT (13.357908248901367 38.119728088378906),node,,,,
26,0.0,13.318407,2678538138,1555881147,38.09741,"{""contact:email"":""ivanlaine@live.it"",""description"":""Composizione musicale per ogni stile ed esigenza e ampiezza; specialista nel settore elettronica, house, dance, pop, lounge, ambient, chill out, colonne sonore per cortometraggi; mastering, montaggio e ottimizzazione audio anche per clip video amatoriali"",""payment:bitcoin"":""yes"",""studio"":""audio""}",4,,,,,,Service Mastering And Editing Audio,,,,,studio,,,,,,POINT (13.31840705871582 38.097408294677734),node,,,,
27,0.0,13.885613,2942539216,1404246772,37.987606,,1,Campofelice di Roccella,38/A,90010,Viale della Provincia,,Arena Re,,,,,cinema,,,,,,POINT (13.885613441467285 37.987606048583984),node,,,,
28,0.0,13.884313,2945359750,1526238113,37.98587,"{""name:en"":""civil protection (O.N.V.G.I.)""}",2,,,,,,Protezione Civile (O.N.V.G.I.),,,,,community_centre,,,,,,POINT (13.884312629699707 37.985870361328125),node,,,,
29,0.0,13.292412,3074942331,1410614052,38.080486,,1,,,,,,,,,,,fountain,,,,,,POINT (13.292411804199219 38.08048629760742),node,,,,
30,0.0,13.280466,3141458027,1428067976,38.07715,,2,,,,,,acqua potabile,,,,,fountain,,,,,,POINT (13.280466079711914 38.0771484375),node,,,,
31,0.0,13.344447,3326954514,1456170300,38.099895,,2,,,,,,Teatro Gregotti (Ingresso),,,,,theatre,,,,,,POINT (13.344447135925293 38.09989547729492),node,,,,
32,0.0,13.332674,3483720080,1613556844,38.15222,,4,Palermo,111,90146,Via Ausonia,,Cinema King,,,+39 091 516121,https://www.cinecityking.it/,cinema,,,,,,POINT (13.332674026489258 38.1522216796875),node,,,,
33,0.0,13.332438,3483725518,1515916170,38.15056,,2,,,,,,RAI Sicilia,,,,,studio,,,,,,POINT (13.332438468933105 38.15055847167969),node,,,,
34,0.0,13.451776,3569942001,1569782480,38.03488,,2,,,,,,,,,,,fountain,,,,,,POINT (13.451775550842285 38.034881591796875),node,,,,
35,0.0,13.290805,3661355735,1437557567,38.08222,,1,,,,,,,,,,,fountain,,,,,,POINT (13.290804862976074 38.082218170166016),node,,,,
36,0.0,13.344295,3730965262,1614939172,38.1396,,3,Palermo,25,90144,Via Francesco Paolo di Blasi,,Cineteatro Lux,,,+39 091 784 2239,https://luxcineteatro.wixsite.com/luxcineteatro,cinema,,,,,,POINT (13.344294548034668 38.13959884643555),node,,,,
37,0.0,13.36918,3737686925,1441901131,38.117634,,1,,,,,,,,,,,fountain,,,,,,POINT (13.369179725646973 38.11763381958008),node,,,,
38,0.0,14.08986,3760253466,1443276273,37.928707,,1,,,,,,,,,,,fountain,,,,,,POINT (14.089859962463379 37.928707122802734),node,,,,
39,0.0,14.021813,3826590511,1545256852,38.038105,,4,Cefalù,65,90015,Corso Ruggero,info@cinemadifrancesca.it,Cinema Di Francesca,,,+39 0921923330,http://www.cinemadifrancesca.it,cinema,,,,,,POINT (14.02181339263916 38.03810501098633),node,,,,
40,0.0,13.291532,4141143789,1461344057,38.08122,,1,,,,,,,,,,,fountain,,,,,,POINT (13.291531562805176 38.08121871948242),node,,,,
41,0.0,13.369077,4169725549,1489237080,38.113987,"{""capacity"":""150"",""wikidata"":""Q3981995""}",2,,90,,Via Castrofilippo,,Teatro Garibaldi,,,,,theatre,,,1861,,it:Teatro Garibaldi (Palermo),POINT (13.3690767288208 38.11398696899414),node,,,,
42,0.0,13.357213,4171444798,1462620650,38.110928,,1,,5;7,,Via delle Balate,,Teatro delle Balate,,Associazione Liberiteatri,,,theatre,,,,,it:Teatro delle Balate,POINT (13.357213020324707 38.11092758178711),node,,,,
43,0.0,13.342101,4174359472,1462819381,38.126198,"{""contact:fax"":""+39 091 6828958"",""contact:phone"":""+39 091 6819122"",""ref:vatin"":""IT00644900821""}",1,,5/A,,Via Antonio Furitano,,Teatro Lelio,,,,http://teatrolelio.it,theatre,,,,,it:Teatro Lelio,POINT (13.342101097106934 38.126197814941406),node,,,,
44,0.0,13.358928,4187761113,1463335778,38.11676,,1,,,,,,I Candelai,,,,,nightclub,,,,,,POINT (13.358927726745605 38.11676025390625),node,,,,
45,0.0,13.367877,4203987517,1489237080,38.11853,"{""artist_name"":""Antonello Gagini"",""wikidata"":""Q3747381""}",2,,,,,,Fontana della Doganella,,,,,fountain,,,1526,,it:Fontana della Doganella,POINT (13.367877006530762 38.1185302734375),node,,,,
46,0.0,13.361291,4290439591,1517219285,38.115726,,5,,,,,,,,,,,fountain,,,,,,POINT (13.36129093170166 38.115726470947266),node,,,,
47,0.0,13.361519,4290439592,1517219285,38.11581,,3,,,,,,,,,,,fountain,,,,,,POINT (13.361518859863281 38.11581039428711),node,,,,
48,0.0,13.361628,4290493990,1517219285,38.11564,,3,,,,,,,,,,,fountain,,,,,,POINT (13.361627578735352 38.115638732910156),node,,,,
49,0.0,13.3614025,4290518689,1517219285,38.115555,,3,,,,,,,,,,,fountain,,,,,,POINT (13.36140251159668 38.11555480957031),node,,,,
50,0.0,14.108948,4382398293,1521843708,37.795586,,2,,,,,,,,,,,fountain,,,,,,POINT (14.10894775390625 37.79558563232422),node,,,,
51,0.0,14.107504,4382407791,1615449324,37.79734,,2,,,,,,,,,,,fountain,,,,,,POINT (14.107503890991211 37.797340393066406),node,,,,
52,0.0,13.601467,4395444098,1648130246,37.67759,"{""tourism"":""attraction""}",3,,,,,,Fonte Rabato,,,,,fountain,,,,,,POINT (13.60146713256836 37.677589416503906),node,,,,
53,0.0,13.330375,4510130190,1479546629,38.147522,"{""name:en"":""A.s.d. Club Scherma Palermo"",""name:it"":""A.s.d. Club Scherma Palermo""}",1,,60,90144,Via dei Nebrodi,info@clubschermapalermo.org,A.s.d. Club Scherma Palermo,Mo-Fr 16:30-20:30,,0912523040,http://www.clubschermapalermo.org,community_centre,,wlan,,,,POINT (13.330374717712402 38.14752197265625),node,,,,
54,0.0,13.366858,4653847198,1646583508,38.11054,,2,,,,,,,,,,,fountain,,,,,,POINT (13.366857528686523 38.110538482666016),node,,,,
55,0.0,13.366411,4654080192,1646583508,38.11033,,2,,,,,,,,,,,fountain,,,,,,POINT (13.366411209106445 38.110328674316406),node,,,,
