,tags,changeset,lon,version,id,timestamp,lat,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,building,drinking_water,fountain,gambling,internet_access,office,source,start_date,wikipedia,geometry,osm_type,addr:housename,addr:place,building:levels,landuse
0,"{""architect"":""Pietro Lombardi"",""description"":""Multiple drinking fountain, remarkable historical work sculpted in lime stone""}",0.0,12.501668,6,246574146,1432766763,41.89577,,,,,,,,,,,,,fountain,,yes,,,,,,1927,,POINT (12.501667976379395 41.89577102661133),node,,,,
1,"{""disused"":""yes""}",0.0,12.567554,5,248517016,1581635024,41.93492,Roma,,13,,Via Luigi Speroni,,Di Via Speroni,,,+39 06 4112287,,,theatre,,,,,,,,,,POINT (12.567554473876953 41.93492126464844),node,,,,
2,,0.0,12.533911,3,248663946,1512220555,41.88741,,,,,,,Cineclub Alphaville,,,,,,cinema,,,,,,,,,,POINT (12.533910751342773 41.88740921020508),node,,,,
3,,0.0,12.472672,3,248674890,1626178712,41.88422,,,,,,,Nuovo Sacher,,,,,,cinema,,,,,,,,,,POINT (12.472672462463379 41.884220123291016),node,,,,
4,,0.0,12.474379,4,248676601,1323116807,41.88932,Roma,IT,3,,Piazza Sidney Sonnino,,Reale,,,+39 06 5810234,,,cinema,,,,,,,,,,POINT (12.47437858581543 41.889320373535156),node,,,,
5,,0.0,12.468472,4,250884088,1397738261,41.833878,,,32,00144,Via Liszt,,EUR Cine,,,,,,cinema,,,,,,,,,,POINT (12.46847152709961 41.83387756347656),node,,,,
6,"{""wheelchair"":""yes"",""wikidata"":""Q36673428""}",0.0,12.491988,7,250889369,1520321890,41.90141,Roma,IT,23,00184,Via delle Quattro Fontane,,Quattro Fontane,,,,,,cinema,,,,,,,,,,POINT (12.491988182067871 41.90140914916992),node,,,,
7,"{""contact:email"":""multisalagreenwich@gmail.com"",""contact:facebook"":""https://www.facebook.com/greenwichmultisala/"",""contact:phone"":""+39 06 5745825"",""contact:website"":""https://www.multisalagreenwichroma.com/"",""ref:vatin"":""IT04131581003"",""screen"":""3""}",0.0,12.47411,4,251888861,1581883816,41.87886,Roma,,59,00153,Via Giovanni Battista Bodoni,,Greenwich,,Greenwich Srl,,,,cinema,,,,,,,,,,POINT (12.474109649658203 41.87886047363281),node,,,,
8,,0.0,12.475012,4,252419164,1382015461,41.87974,,,10,00153,Piazza di Santa Maria Liberatrice,info@teatrovittoria.it,Teatro Vittoria,,,+39 065781960,,http://www.teatrovittoria.it/,theatre,,,,,,,,,,POINT (12.475011825561523 41.87974166870117),node,,,,
9,,0.0,12.501124,5,256572503,1516001821,41.889744,,,,,,,,,,,,,fountain,,yes,,,,,,,,POINT (12.501124382019043 41.88974380493164),node,,,,
10,"{""wikidata"":""Q37000354""}",0.0,12.472651,4,257352141,1520321891,41.895237,,,,,,,Farnese,,,,,,cinema,,,,,,,,,,POINT (12.472650527954102 41.89523696899414),node,,,,
11,"{""tourism"":""attraction"",""wikidata"":""Q3747370""}",0.0,12.485651,5,259261742,1489236593,41.931522,,,,,,,Fontana dell'Acqua Acetosa,,,,,,fountain,,,,,,,,,it:Fontana dell'Acqua Acetosa,POINT (12.485651016235352 41.931522369384766),node,,,,
12,"{""description"":""Artistic fountain in the wall"",""image"":""File:Fontana dei Libri in Via degli Staderari, Roma.jpeg"",""name:it"":""Fontana dei Libri"",""name:ru"":""\u0444\u043E\u043D\u0442\u0430\u043D \u041A\u043D\u0438\u0433"",""tourism"":""attraction"",""wikidata"":""Q76941085""}",0.0,12.474202,12,259576441,1596392223,41.898403,,,,,,,Fontana dei Libri,,,,,,fountain,,yes,,,,,,,,POINT (12.474202156066895 41.89840316772461),node,,,,
13,"{""wheelchair"":""yes"",""wikidata"":""Q3982086""}",0.0,12.461858,4,259642836,1489236593,41.92638,,,,,,,Teatro Olimpico,,,,,,theatre,,,,,,,,,it:Teatro Olimpico (Roma),POINT (12.461857795715332 41.9263801574707),node,,,,
14,"{""name:de"":""Touristeninfo - Roma Pass Abholung"",""wheelchair"":""limited""}",0.0,12.4636345,8,259653354,1520624849,41.902657,,,,,,,Auditorium RAI di via della Conciliazione,,,,,,theatre,,,,,,,,,,POINT (12.463634490966797 41.90265655517578),node,,,,
15,"{""cinema:3D"":""yes""}",0.0,12.479298,8,260540041,1640777353,41.85341,Roma,IT,121,00145,Via Gabriello Chiabrera,,Madison,,,+39 06 5417926,http://www.mymovies.it/cinema/roma/4916/,https://www.cinemamadison.it/,cinema,,,,,,,,,,POINT (12.479297637939453 41.85340881347656),node,,,,
16,"{""architect"":""Pietro Lombardi"",""capacity"":""4"",""image"":""File:The British Army on Leave in Italy, June 1944 TR1971.jpg"",""name:ru"":""\u0444\u043E\u043D\u0442\u0430\u043D \u0448\u0438\u0448\u043A\u0430"",""wikidata"":""Q76941879""}",0.0,12.481571,14,264897051,1596400250,41.895367,,,,,,,Fontana della Pigna,,,,,,fountain,,yes,drinking,,,,,1927,,POINT (12.481571197509766 41.89536666870117),node,,,,
17,"{""wheelchair"":""yes""}",0.0,12.555606,3,266493853,1590595722,41.860783,Roma,,745,00174,Via Tuscolana,atlantic@ferrerocinemas.com,Multisala Atlantic,,,+39 06 76 10 65,,http://www.ferrerocinemas.it/index.php?id_menu=37,cinema,,,,,,,,,,POINT (12.5556058883667 41.860782623291016),node,,,,
18,,0.0,12.4846525,1,266963039,1211808895,41.878384,,,,,,,Anfitrione,,,,,,theatre,,,,,,,,,,POINT (12.484652519226074 41.87838363647461),node,,,,
19,"{""image"":""File:Fontana della Carlotta, Garbatella, Roma.jpeg"",""wikidata"":""Q76942311""}",0.0,12.490992,8,267110207,1596625142,41.863914,,,,,,,Fontana della Carlotta,,,,,,fountain,,yes,drinking,,,,,,,POINT (12.490991592407227 41.863914489746094),node,,,,
20,,0.0,12.464133,1,267112900,1211900568,41.896458,,,,,,,Filmstudio,,,,,,cinema,,,,,,,,,,POINT (12.464133262634277 41.89645767211914),node,,,,
21,,0.0,12.506748,6,276555836,1536441857,41.88982,Roma,,175,,Via Emanuele Filiberto,,Royal,,,,,www.ferrerocinemas.it/royal/index.php,cinema,,,,,,,,,,POINT (12.50674819946289 41.88982009887695),node,,,,
22,"{""architect"":""Jacopo del Conte"",""type"":""sculpture"",""wheelchair"":""yes"",""wikidata"":""Q3968656""}",0.0,12.481382,7,281348354,1489236597,41.898304,,,,,,,Fontana del Facchino,,,,,,fountain,,yes,,,,,,1587..1598,it:Statua del Facchino,POINT (12.481382369995117 41.8983039855957),node,,,,
