,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,ice_cream,source,start_date,wikipedia,geometry,osm_type,addr:housename,building,building:levels,gambling,internet_access
0,0.0,7.69179,246640321,1423648508,45.072998,"{""wheelchair"":""yes""}",4,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.6917901039123535 45.072998046875),node,,,,,
1,0.0,7.6917133,248787330,1424530738,45.066986,"{""created_by"":""Potlatch 0.7b"",""wheelchair"":""yes""}",4,,,,,,,,Greenwich Village,,,,,,cinema,,,,,,,POINT (7.691713333129883 45.066986083984375),node,,,,,
2,0.0,7.7084994,262100274,1620114836,44.976463,"{""air_conditioning"":""yes"",""brand"":""UCI Cinemas"",""payment:cash"":""yes"",""payment:credit_cards"":""yes"",""payment:debit_cards"":""yes"",""screen"":""16"",""wheelchair"":""yes""}",5,,,,,,,,UCI Cinemas,,,+39 89 2960,,www.ucicinemas.it,cinema,,,,,,,POINT (7.708499431610107 44.976463317871094),node,,,,,
3,0.0,6.9270577,477959854,1584471433,45.097256,"{""lit"":""yes""}",3,,,,,,,,,,,,,,fountain,yes,,,,,,POINT (6.92705774307251 45.09725570678711),node,,,,,
4,0.0,7.7797546,563313694,1498567005,44.969357,,4,Cambiano,,1,10020,,Piazza Innovazione,,Teatro Comunale,,,,,,theatre,,,,,,,POINT (7.779754638671875 44.969356536865234),node,,,,,
5,0.0,7.6793194,596529626,1552849901,45.052334,"{""wikidata"":""Q3981940""}",6,,,71,10125,,Via Madama Cristina,,Teatro Colosseo,,,,,https://www.teatrocolosseo.it/,theatre,,,,,,it:Teatro Colosseo,POINT (7.679319381713867 45.05233383178711),node,,,,,
6,0.0,7.6846704,617849850,1570808572,45.0693,"{""historic"":""yes"",""wheelchair"":""yes"",""wikidata"":""Q3895972""}",8,Torino,,6,10123,Piazza Carignano,,,Teatro Carignano,,,,,,theatre,,,,,,it:Teatro Carignano,POINT (7.684670448303223 45.06930160522461),node,,,,,
7,0.0,7.2785754,748786187,1274865951,44.894398,,1,,,,,,,,Fontana degli Alpini,,,,,,fountain,,,,,,,POINT (7.278575420379639 44.8943977355957),node,,,,,
8,0.0,7.872168,773585108,1346283379,45.464943,,4,,,,,,,,Fontana Camillo Olivetti,,,,,,fountain,,,,,,,POINT (7.872168064117432 45.464942932128906),node,,,,,
9,0.0,7.8797917,773637449,1276694419,45.4664,,1,,,,,,,,ABCinema d'Essai,,,,,,cinema,,,,,,,POINT (7.879791736602783 45.466400146484375),node,,,,,
10,0.0,7.5375056,920720793,1445955056,45.008144,,2,Orbassano,,1,,,Via dei Molini,,Teatro Sandro Pertini,,,,,,theatre,,,,,,,POINT (7.537505626678467 45.00814437866211),node,,,,,
11,0.0,7.8842797,966247815,1492863773,45.189686,"{""name:it"":""Politeama""}",2,,,,,,,,Politeama,,,,,,cinema,,,,,,,POINT (7.884279727935791 45.1896858215332),node,,,,,
12,0.0,7.3561907,968232037,1647765881,45.09941,"{""access"":""yes"",""bottle"":""yes"",""check_date"":""2022-03-19"",""fee"":""no""}",4,,,,,,,,Fontana della Rustà,,,,,,fountain,yes,,,,1751,,POINT (7.3561906814575195 45.09941101074219),node,,,,,
13,0.0,6.9294653,993135194,1614331331,45.09756,"{""lit"":""yes""}",3,,,,,,,,,,,,,,fountain,yes,stone_block,,,,,POINT (6.929465293884277 45.09756088256836),node,,,,,
14,0.0,7.6027513,1154524683,1358959474,45.003296,,2,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.6027512550354 45.0032958984375),node,,,,,
15,0.0,7.666441,1172116311,1422900524,45.03388,"{""wheelchair"":""yes""}",3,,,230,10126,,Via Nizza,,UCI Cinemas Lingotto,,,,,http://www.ucicinemas.it,cinema,,,,,,,POINT (7.666440963745117 45.033878326416016),node,,,,,
16,0.0,7.5871463,1180403092,1323870337,45.02282,,2,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.587146282196045 45.02281951904297),node,,,,,
17,0.0,7.713856,1181457290,1618178849,45.066784,"{""wikidata"":""Q3611028""}",4,,,,,,,,Alfa Teatro,,,,,,theatre,,,,,,it:Alfa Teatro,POINT (7.713856220245361 45.0667839050293),node,,,,,
18,0.0,7.6325045,1207356767,1300457671,45.00151,,1,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.632504463195801 45.00151062011719),node,,,,,
19,0.0,7.799283,1240374318,1302471819,45.535435,,1,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.799283027648926 45.53543472290039),node,,,,,
20,0.0,7.685041,1244536698,1425070025,45.048637,"{""tourism"":""attraction""}",2,,,,,,,,Fontana del melograno,,,,,,fountain,,,,,,,POINT (7.6850409507751465 45.04863739013672),node,,,,,
21,0.0,7.685241,1244536721,1425043505,45.049385,,2,,,,,,,,,,,,,,fountain,,,,,,,POINT (7.685241222381592 45.04938507080078),node,,,,,
