,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,ref,website,amenity,drinking_water,fountain,gambling,source,geometry,osm_type,building,start_date,wikipedia,building:levels
0,0.0,10.945913,250362881,1568204315,45.43851,,3,Verona,IT,6,37139,Via Brigata Aosta,,Cineteatro San Massimo,,,,,,theatre,,,,,POINT (10.945913314819336 45.43851089477539),node,,,,
1,0.0,10.960018,259776932,1621326447,45.455368,,4,,,,,,,,,,,,,stripclub,,,,,POINT (10.960018157958984 45.45536804199219),node,,,,
2,0.0,10.981938,262307626,1323161178,45.45667,"{""wheelchair"":""yes""}",3,,,,,,,Cinema Pindemonte,,,,,,cinema,,,,,POINT (10.981938362121582 45.456668853759766),node,,,,
3,0.0,10.840791,285962312,1346656934,45.350082,,3,,,,,,,Auditorium Comunale,,,,,,theatre,,,,,POINT (10.840790748596191 45.35008239746094),node,,,,
4,0.0,10.69978,382921329,1594212902,45.443012,,2,,,,,,,,,,,,,fountain,no,jet_water,,,POINT (10.699780464172363 45.44301223754883),node,,,,
5,0.0,10.987218,430386448,1246896364,45.536034,,2,,,,,,,Lavatoi,,,,,,fountain,,,,,POINT (10.987217903137207 45.536033630371094),node,,,,
6,0.0,10.994402,430717164,1246896349,45.54689,,2,,,,,,,,,,,,,fountain,,,,,POINT (10.994401931762695 45.54689025878906),node,,,,
7,0.0,10.852452,443804507,1551099550,45.647766,,3,,,,,,,,,,,,,fountain,yes,,,,POINT (10.852452278137207 45.64776611328125),node,,,,
8,0.0,11.208925,475604980,1340356353,45.380096,,3,,,,,,,Fontana,,,,,,fountain,,,,,POINT (11.208925247192383 45.380096435546875),node,,,,
9,0.0,10.8816185,586450098,1363947572,45.34656,,2,,,,,,,Teatro Parrocchiale,,,,,,theatre,,,,,POINT (10.88161849975586 45.346561431884766),node,,,,
10,0.0,10.776263,597270922,1512918981,45.71617,,2,,,,,,,,,,,,,fountain,,,,,POINT (10.776263236999512 45.71617126464844),node,,,,
11,0.0,11.154871,660739503,1593096776,45.644547,,2,,,,,,,Lavatoio Contrà Pagani,,,,,,fountain,yes,,,,POINT (11.154870986938477 45.64454650878906),node,,,,
12,0.0,10.784883,703787377,1409578317,45.45789,,3,,,,,,,Teatro Comunale Diego Martinelli,,,,,,theatre,,,,,POINT (10.784882545471191 45.457889556884766),node,,,,
13,0.0,11.032671,772960818,1320416056,45.438087,,2,,,,,,,Teatro Canossa,,,,,,theatre,,,,,POINT (11.032670974731445 45.438087463378906),node,,,,
14,0.0,10.722101,835598169,1339935853,45.547913,,2,,,,,,,,,,,,,cinema,,,,,POINT (10.722101211547852 45.54791259765625),node,,,,
15,0.0,10.751072,839123754,1368776776,45.599003,"{""historic"":""fountain"",""man_made"":""water_well""}",6,,,,,,,,,,,,,fountain,,,,,POINT (10.75107192993164 45.599002838134766),node,,,,
16,0.0,11.01416,848296034,1281138032,45.49571,,1,,,,,,,,,,,,,fountain,,,,,POINT (11.01416015625 45.49570846557617),node,,,,
17,0.0,11.036671,848502812,1281174690,45.46781,,1,,,,,,,,,,,,,fountain,,,,,POINT (11.036670684814453 45.467811584472656),node,,,,
18,0.0,11.05108,1107546559,1295271086,45.38056,,1,,,,,,,Astra,,,,,,theatre,,,,,POINT (11.051079750061035 45.38056182861328),node,,,,
19,0.0,10.992892,1152590532,1634314569,45.43968,"{""alt_name"":""Cinema Rivoli"",""wheelchair"":""limited""}",8,Verona,IT,10,37121,Piazza Brà,,Multisala Rivoli,,,+39 045 8032935,,http://www.multisalarivoli.it,cinema,,,,Survey,POINT (10.992892265319824 45.43967819213867),node,,,,
20,0.0,11.210205,1400461026,1313450501,45.593723,,1,,,,,,,,,,,,,fountain,,,,,POINT (11.210205078125 45.59372329711914),node,,,,
21,0.0,11.175181,1401600222,1313531505,45.21881,,1,,,,,,,Teatro di Asparetto,,,,,,theatre,,,,,POINT (11.17518138885498 45.21881103515625),node,,,,
22,0.0,11.211892,1402598138,1314571436,45.195232,,2,,,,,,,Cinema Mignon,,,,,,cinema,,,,,POINT (11.211892127990723 45.19523239135742),node,,,,
23,0.0,11.085827,1414369086,1621326447,45.41564,"{""contact:mobile"":""+39 339 645 4927"",""facebook"":""https://www.facebook.com/pages/category/Adult-Entertainment-Club/Al-Veleno-475087362700043/""}",3,San Martino Buon Albergo,,39,37036,Viale del Lavoro,,Al Veleno Night Club,"We,Th 22:30-04:00, Fr,Sa 22:30-05:00, Su 22:30-24:00",,,,https://alvelenonightclub.it/,stripclub,,,,,POINT (11.085826873779297 45.41564178466797),node,,,,
24,0.0,10.973502,1462387106,1358350632,45.42038,,2,,,,,,,Cinema Diamante,,,,,,cinema,,,,,POINT (10.973502159118652 45.420379638671875),node,,,,
25,0.0,11.005357,1740460012,1336148959,45.272614,,1,,,,,,,Cap. Bovo,,,,,,cinema,,,,,POINT (11.005356788635254 45.272613525390625),node,,,,
26,0.0,10.985721,1752492286,1481709735,45.417828,,4,Verona,IT,4,37135,Via Scuderlando,,Interzona,,,,,,nightclub,,,,,POINT (10.98572063446045 45.41782760620117),node,,,,
27,0.0,10.773586,1808869157,1341154069,45.601494,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.77358627319336 45.60149383544922),node,,,,
28,0.0,11.083673,1861996382,1468744198,45.426132,,3,,,,,,,,,,,,,fountain,,,,,POINT (11.083672523498535 45.42613220214844),node,,,,
29,0.0,11.04713,1891308804,1346409664,45.38072,,1,,,,,,,,,,,,,fountain,,,,,POINT (11.04712963104248 45.38071823120117),node,,,,
30,0.0,10.822869,1910036767,1393412248,45.766457,,2,,,,,,,,,,,,,fountain,,,,,POINT (10.822869300842285 45.766456604003906),node,,,,
31,0.0,11.268611,1941683038,1568813264,45.39506,"{""wheelchair"":""yes""}",4,San Bonifacio,IT,7,37047,Via Guglielmo Marconi,,Cinema Teatro Centrale,,,,,,theatre,,,,,POINT (11.268610954284668 45.39506149291992),node,,,,
32,0.0,11.271215,1941683049,1568813264,45.396465,"{""wheelchair"":""yes""}",3,San Bonifacio,IT,9,37047,Corso Italia,,Cinema Cristallo,,,,,,cinema,,,,,POINT (11.271215438842773 45.39646530151367),node,,,,
33,0.0,10.946793,2035718408,1636977716,45.458218,"{""lottery"":""yes"",""name:signed"":""no"",""newspaper"":""yes"",""salt"":""yes"",""shop"":""tobacco"",""stamps"":""yes"",""toys"":""yes""}",6,Verona,IT,96,37139,Via Aeroporto Angelo Berardi,,,"Mo-Sa 07:00-13:00,15:30-19:30; Su 08:00-12:30",,+39 045 576639,,,gambling,,,,,POINT (10.946792602539062 45.45821762084961),node,,,,
34,0.0,11.069511,2104197477,1612289844,45.179558,,3,,,,,,,,,,,,,nightclub,,,,,POINT (11.069511413574219 45.17955780029297),node,,,,
35,0.0,10.778807,2111344179,1358198523,45.55283,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.778806686401367 45.55282974243164),node,,,,
36,0.0,10.843613,2127863172,1375277746,45.348877,,2,,,,,,,,,,,,,fountain,,,,,POINT (10.843612670898438 45.348876953125),node,,,,
37,0.0,10.8476095,2190973787,1362737361,45.35045,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.847609519958496 45.35044860839844),node,,,,
38,0.0,10.722108,2194151817,1362918414,45.547028,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.722107887268066 45.547027587890625),node,,,,
39,0.0,10.958898,2247724710,1365061127,45.439297,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.958897590637207 45.43929672241211),node,,,,
40,0.0,10.66485,2261837810,1365616027,45.449543,,1,,,,,,,Eldorado,,,,,,gambling,,,,,POINT (10.664850234985352 45.44954299926758),node,,,,
41,0.0,10.677711,2273462963,1366448521,45.441372,,1,,,,,,,,,,,,,gambling,,,slot_machines,,POINT (10.67771053314209 45.44137191772461),node,,,,
42,0.0,10.713729,2318440997,1369406838,45.45752,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.713728904724121 45.45751953125),node,,,,
43,0.0,10.70854,2318493922,1369409433,45.4564,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.708539962768555 45.45640182495117),node,,,,
44,0.0,10.734295,2364139491,1372406361,45.55399,,1,,,,,,,Hollywood,,,,,,nightclub,,,,,POINT (10.734294891357422 45.55398941040039),node,,,,
45,0.0,10.97644,2381215266,1386619679,45.443275,"{""note"":""Aperto solo durante il periodo estivo"",""wheelchair"":""yes""}",2,,,,,,,Arena estiva Fiume,,,,,,cinema,,,,,POINT (10.9764404296875 45.443275451660156),node,,,,
46,0.0,11.030053,2405176965,1504649807,45.623234,,2,,,,,,,Teatro Vittoria,,,,,,theatre,,,,,POINT (11.03005313873291 45.623233795166016),node,,,,
47,0.0,10.841162,2407813146,1375703845,45.40827,,1,,,,,,,,,,,,,cinema,,,,,POINT (10.841161727905273 45.40827178955078),node,,,,
48,0.0,10.8535795,2432288033,1578409452,45.676594,,2,,,,,,,,,,,,,fountain,yes,,,,POINT (10.8535795211792 45.67659378051758),node,,,,
49,0.0,10.899685,2473204031,1380268414,45.561207,,1,,,,,,,,,,,,,fountain,,,,,POINT (10.89968490600586 45.56120681762695),node,,,,
