,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,website,office,geometry,osm_type
0,"{""addr:district"":""San Vitale"",""source"":""Comune di Bologna""}",0,4,1704290995,11.358107,1629149707,44.49072,Bologna,IT,6,40138,Viale Gian Battista Ercolani,emiliaromagna@cri.it,Croce Rossa Italiana - Comitato Emilia Romagna,,+39 051 340349,https://www.cri.it/emilia-romagna,ngo,POINT (11.35810661315918 44.490718841552734),node
1,"{""alt_name"":""CRI Imola"",""description"":""Croce Rossa Italiana - Comitato di Imola - Sede centrale"",""emergency"":""ambulance_station"",""facebook"":""https://www.facebook.com/cri.imola"",""fax"":""+39 0542 22494""}",0,8,2476584812,11.718242,1549820470,44.355877,Imola,,4,40026,Viale Alessandro Meloni,imola@cri.it,Croce Rossa Italiana - Comitato di Imola,,+39 0542 34035,http://www.cri-imola.it,ngo,POINT (11.718241691589355 44.35587692260742),node
2,"{""source"":""http://www.comune.imola.bo.it/imoladove/caf-centro-di-assistenza-fiscale-acli-service-imola""}",0,6,2823174809,11.713645,1553082213,44.353294,Imola,,143,40026,Via Emilia,,ACLI,,+39 0542 22595,https://www.acli.it/,ngo,POINT (11.713644981384277 44.353294372558594),node
3,,0,2,2952615630,11.355221,1553081849,44.504025,Bologna,,10,40128,Via Antonio Gandusio,,L'Altra Babele - Associazione Studentesca e di Promozione Sociale,,,https://www.laltrababele.it/,ngo,POINT (11.355220794677734 44.504024505615234),node
4,,0,1,3914425354,11.346259,1451303799,44.491375,,,,,,,Fondazione Carisbo,,,,ngo,POINT (11.346259117126465 44.49137496948242),node
5,"{""smoking"":""no""}",0,1,4137042293,11.347342,1461187509,44.49247,Bologna,,11,40125,Via Santo Stefano,,Fondazione Istituto Carlo Cattaneo,,,http://www.cattaneo.org,ngo,POINT (11.347341537475586 44.492469787597656),node
6,"{""description"":""Croce Rossa Italiana - Comitato di Imola - Sede Castel Del Rio""}",0,3,4684248617,11.504841,1549820470,44.21439,Castel del Rio,,2,40022,Via Madre Maria Teresa Tribbioli,,Croce Rossa Italiana,,,,ngo,POINT (11.504840850830078 44.21438980102539),node
7,"{""facebook"":""https://www.facebook.com/CAI.Imola/"",""opening_hours:url"":""https://www.facebook.com/pg/CAI.Imola/about""}",0,3,4684271428,11.709077,1513413720,44.361557,Imola,,2,40026,Viale Quinto Cenni,cai@imola.it,Club Alpino Italiano sez.Imola,We 20:30-22:30; Fr 20:30-22:30,,http://www.cai-imola.it/,ngo,POINT (11.709076881408691 44.36155700683594),node
8,"{""smoking"":""no""}",0,1,4725947518,11.349096,1489064343,44.49304,Bologna,,23,40125,Strada Maggiore,,ASCOM Bologna,09:00-18:00,,,ngo,POINT (11.349096298217773 44.493038177490234),node
9,,0,3,4762188200,11.7181225,1540565602,44.355984,Imola,,2,40026,Viale Alessandro Meloni,,UGC CISL,,,http://www.ugc-cisl.it/,ngo,POINT (11.718122482299805 44.35598373413086),node
10,,0,1,4869316415,11.25629,1495440517,44.50518,Bologna,,,40132,Via Olmetola,,Arvaia,,,,ngo,POINT (11.256290435791016 44.50518035888672),node
11,"{""description"":""Croce Rossa Italiana - Comitato di Imola - Mercatino solidale"",""shop"":""charity""}",0,5,5252380710,11.719443,1549820470,44.360966,Imola,,12B,40026,Via Serraglio,,Croce Rossa,,,http://www.cri-imola.it/,ngo,POINT (11.719443321228027 44.360965728759766),node
12,"{""emergency"":""ambulance_station""}",0,1,6105437189,11.594357,1543567298,44.399254,,,29,,Viale Alfredo Oriani,,Volontari Pubblica Assistenza e Protezione Civile,,,http://www.pubblicaassistenzacastello.it/,ngo,POINT (11.594356536865234 44.399253845214844),node
13,"{""emergency"":""ambulance_station""}",0,1,6105437190,11.594514,1543567298,44.399364,,,29,,Viale Alfredo Oriani,,Croce Rossa Italiana - Castel San Pietro Terme,,,,ngo,POINT (11.594513893127441 44.39936447143555),node
14,,0,1,6239975776,11.729249,1548607763,44.360966,Imola,,1P,40026,Via Ugo Lambertini,,No Sprechi onlus,,,,ngo,POINT (11.729249000549316 44.360965728759766),node
15,,0,1,6490074287,11.3506,1558512273,44.49351,,,,,,,Fondazione di ricerca Istituto Carlo Cattaneo,,,,ngo,POINT (11.350600242614746 44.49351119995117),node
