,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,website,office,geometry,osm_type
0,"{""official_name"":""Cassa Assistenziale Paritetica Edile""}",0.0,5,3269199661,10.208096,1526593355,45.56169,Brescia,122,25128,Via Guglielmo Oberdan,info@cassaedilebrescia.it,CAPE,,+39 030 289061,http://www.cassaedilebrescia.it/,ngo,POINT (10.20809555053711 45.56169128417969),node
1,"{""level"":""0;1"",""wheelchair"":""yes""}",0.0,4,3778134304,10.179929,1624972566,45.882336,,,,,,C.I.S.L. - Sede di Darfo Boario Terme,,,,ngo,POINT (10.17992877960205 45.8823356628418),node
2,,0.0,2,4085582880,10.214056,1541626722,45.5844,Collebeato,1,25060,Via Giuseppe Borghini,,Ufficio Parrocchiale,,,,ngo,POINT (10.214056015014648 45.58440017700195),node
3,"{""fax"":""+39 030 8248924""}",0.0,7,4527221600,10.263229,1570788514,45.650776,Lumezzane,48;50,25065,Via Montegrappa,,C.I.S.L. - Sede di Lumezzane Adamo Scaroni,,+39 030 8925327,,ngo,POINT (10.263229370117188 45.65077590942383),node
4,,0.0,3,4652644266,10.288604,1541626730,45.585606,Nave,2a,25075,Via Sorelle Minola,,C.I.S.L. - Sede di Nave,,+39 030 2531566,,ngo,POINT (10.288603782653809 45.58560562133789),node
5,,0.0,2,4750912638,10.229577,1490278117,45.528824,Brescia,10,25124,Viale Duca degli Abruzzi,,Co.librì - Società cooperativa sociale - Onlus,,,http://www.colibrionline.it/,ngo,POINT (10.22957706451416 45.52882385253906),node
6,,0.0,1,4750947913,10.229656,1490278117,45.528816,Brescia,10,25124,Viale Duca degli Abruzzi,,Il Calabrone,,,,ngo,POINT (10.229656219482422 45.52881622314453),node
7,,0.0,2,5270346086,9.947758,1512907907,45.500465,Castelcovati,,25030,Via Roma,,Associazione Onlus il Cammino,,,,ngo,POINT (9.947757720947266 45.500465393066406),node
8,,0.0,3,5539891387,10.0858135,1586110860,45.459606,Mairano,5,25030,Via Soncini,gruppogvp@virgilio.com,Gruppo Volontariato Primavera,Mo-Fr 17:00-18:00,+39 0309975233,,ngo,POINT (10.085813522338867 45.4596061706543),node
9,,0.0,1,5539891403,10.080991,1523268082,45.450794,Mairano,,25030,Via Roma,,Casa delle Associaizoni,,,,ngo,POINT (10.0809907913208 45.4507942199707),node
10,,0.0,3,6177037742,10.053532,1571347715,45.66027,Iseo,14d,25049,Via Pusterla,,C.I.S.L. - Sede di Iseo,,,,ngo,POINT (10.053531646728516 45.66027069091797),node
11,,0.0,3,6384314934,10.056,1619794612,45.482677,Lograto,12,25030,Via Guglielmo Marconi,,F.N.P. C.I.S.L. - Sede di Lograto,,+39 030 9973350,,ngo,POINT (10.055999755859375 45.4826774597168),node
12,,0.0,2,6407225870,10.184098,1570190354,45.42994,Bagnolo Mella,73,25021,Via Ventisei Aprile,,F.N.P. C.I.S.L. - Sede di Bagnolo Mella,,,,ngo,POINT (10.184098243713379 45.42993927001953),node
13,,0.0,2,6487871256,10.429842,1618740946,45.35912,Carpenedolo,27,25013,Via Domenico Ceresara,,F.N.P. C.I.S.L. - Sede di Carpenedolo,,,,ngo,POINT (10.429841995239258 45.3591194152832),node
14,,0.0,3,6547615116,10.078684,1573653753,45.324276,Verolanuova,56,25028,Via Dante Alighieri,,C.I.S.L. - Sede di Verolanuova Angelo Tirelli,,,,ngo,POINT (10.078683853149414 45.324275970458984),node
15,,0.0,4,6855260608,10.186091,1578917656,45.687355,Gardone Val Trompia,251,25063,Via Giacomo Matteotti,,C.I.S.L. - Sede di Gardone Val Trompia,,+39 030 8911943,,ngo,POINT (10.186091423034668 45.687355041503906),node
