,tags,lat,timestamp,changeset,id,version,lon,addr:city,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,website,office,geometry,osm_type
0,"{""description:it"":""Volontari per i beni culturali""}",42.016533,1301081103,0.0,1217896724,2,11.958346,,,,,,Gruppo Archeologico del Territorio Cerite,,,,ngo,POINT (11.958346366882324 42.01653289794922),node
1,"{""fixme"":""posizione""}",41.96203,1519485744,0.0,4348976595,3,12.796443,,,00019,Piazza Trento,tivoli1@lazio.agesci.it,AGESCI Gruppo scout Tivoli 1,,,http://www.agescitivoli.org,ngo,POINT (12.796442985534668 41.96202850341797),node
2,"{""description"":""Associazione Nazionale Carabinieri Nucleo Protezione Civile e Volontariato Aprilia""}",41.57915,1561383792,0.0,4355474415,11,12.654853,Aprilia,"Km 46,600",04011,Via Pontina,,ANC Aprilia 70,,,https://www.ancaprilia.org/,ngo,POINT (12.654852867126465 41.57915115356445),node
3,,41.805603,1474356820,0.0,4409241681,1,12.679153,Frascati,,00044,Largo Donatori di Sangue,,Consorzio Tutela Denominazioni Vini Frascati Doc Docg,,,,ngo,POINT (12.679153442382812 41.80560302734375),node
4,"{""name:de"":""Melanchthon Zentrum - Evangelisches Zentrum f\u00FCr \u00F6kumenische Studien in Rom"",""name:en"":""Melanchthon Centre - Protestant Centre for Ecumenical Studies in Rome"",""name:sk"":""Centrum Melanchthon - Protestantsk\u00E9 centrum pre ekumenick\u00E9 \u0161t\u00FAdi\u00E1 v R\u00EDme""}",41.89071,1553364202,0.0,5207387621,2,12.42885,,,00165,,,Centro Melantone - Centro Protestante di studi ecumenici a Roma,Mo-Fr 09:00-14:00,+390666030104,https://www.centromelantone.org/,ngo,POINT (12.428850173950195 41.890708923339844),node
5,,41.864388,1537820303,0.0,5927546851,1,12.486008,,,,,,Amnesty International,,,,ngo,POINT (12.486007690429688 41.86438751220703),node
6,,41.918415,1556974273,0.0,6447652285,1,12.500313,,20,,Piazza Buenos Aires,,Deep Blue Srl.,,,,ngo,POINT (12.500312805175781 41.91841506958008),node
7,"{""level"":""2""}",41.86195,1557592372,0.0,6466745253,1,12.487596,,,,,,Comitato di Solidarietà per Cuba,,,,ngo,POINT (12.487595558166504 41.8619499206543),node
8,"{""barrier"":""gate""}",41.828186,1564440540,0.0,6536471611,2,12.484024,,80,,Via Luigi Lilio,,Missionari Comboniani,,,,ngo,POINT (12.484024047851562 41.82818603515625),node
9,"{""name:en"":""The International Centre for the Study of the Preservation and Restoration of Cultural Property""}",41.88611,1573621286,0.0,6970693885,1,12.4768505,,,,,,,Mo-Fr 08:30-17:00; Sa-Su 08:30-17:00,,https://www.google.com/search?q=iccrom+rome&rlz=1CDGOYI_enIQ848IQ848&oq=iccrom+&aqs=chrome.1.69i57j0l3.4022j0j4&hl=en-US&sourceid=chrome-mobile&ie=UTF-8#,ngo,POINT (12.476850509643555 41.8861083984375),node
10,,41.869377,1621094450,0.0,8734344813,1,12.488154,Roma,84,00154,Via Francesco Antonio Pigafetta,info@croceviaterra.it,Centro Internazionale Crocevia Onlus,,+39 06 575 4091,https://www.croceviaterra.it/,ngo,POINT (12.488154411315918 41.86937713623047),node
11,"{""name:en"":""Save the Children Italy""}",41.893967,1631715296,0.0,9094641317,1,12.491739,,9,00184,Piazza di San Francesco di Paola,info.italia@savethechildren.org,Save the Children Italia,,,https://savethechildren.it,ngo,POINT (12.491739273071289 41.89396667480469),node
12,,41.958694,1642085031,0.0,9415709717,1,12.801579,,10,00019,Via Campo Sportivo,info@rangeful.com,Rangeful,Mo-Fr 09:00-17:00,+37125444666,https://rangeful.com/it/,ngo,POINT (12.801579475402832 41.95869445800781),node
13,,,1565793782,,288120762,5,,Roma,,00121,Via Salvatore Gasbarra,,Associazione Nazionale Carabinieri - 116° Nucleo Protezione Civile Roma Litorale,,,www.carabinieri.net,ngo,"POLYGON ((12.3354011 41.7754755, 12.3355875 41.7756272, 12.3354636 41.7757557, 12.3354535 41.7757662, 12.3353464 41.7757225, 12.3352016 41.7756071, 12.3354011 41.7754755))",way
14,"{""building"":""yes""}",,1424875707,,330233220,1,,,,,,,Nuova Acropoli,,,,ngo,"POLYGON ((13.2539118 42.1505808, 13.2541344 42.1505688, 13.254121 42.1503143, 13.253885 42.1503342, 13.2539118 42.1505808))",way
15,"{""building"":""yes""}",,1427324272,,334386175,2,,Latina,235,04100,Strada Fogliano,,Associazione Diaphorà onlus,,+39 345 5257782,http://www.diaphora.altervista.org/Diaphora_Onlus/Home.html,ngo,"POLYGON ((12.9173552 41.4055188, 12.9173553 41.4053964, 12.9171598 41.4053962, 12.9171596 41.4055186, 12.9173552 41.4055188))",way
16,"{""building"":""yes"",""name:en"":""Italian Red Cross - National Committee""}",,1478964349,,452873797,2,,,,,,,Croce Rossa Italiana - Comitato Nazionale,,,,ngo,"POLYGON ((12.4498614 41.863486, 12.4498251 41.8634922, 12.4497637 41.8632912, 12.4497452 41.8632305, 12.4494479 41.863281, 12.4494006 41.8631265, 12.4500096 41.8630232, 12.450137 41.8634393, 12.450051 41.8634538, 12.4498614 41.863486))",way
