,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,website,office,geometry,osm_type
0,"{""source"":""CTR Lombardia""}",0.0,5,802072747,8.996284,1553428954,45.346287,,,,,,,Contina Cooperativa Sociale,,,,https://www.contina.it/,ngo,POINT (8.996283531188965 45.34628677368164),node
1,"{""wheelchair"":""no"",""contact:phone"":""+39 02 742001""}",0.0,3,2491540245,9.187172,1568386758,45.4906,Milano,,22,20159,Via Alserio,,Action Aid,,,,https://www.actionaid.it/,ngo,POINT (9.187171936035156 45.4906005859375),node
2,"{""name:he"":""\u05D1\u05D9\u05EA \u05D7\u05D1\""\u05D3 \u05D7\u05D1\u05D3""}",0.0,2,3147151902,9.180475,1533669860,45.4684,Milano,IT,5,20121,Piazza Castello,Mashiach@gmail.com,Chabad House Naar Israel Lubavitch sinagogue,Mo-Su 10:00-20:00,,+393289631820,http://Mashiach.it,ngo,POINT (9.180475234985352 45.46839904785156),node
3,"{""note"":""Associazione di Filosofia, Cultura e Volontariato"",""wheelchair"":""yes""}",0.0,4,3181896934,9.214907,1553432882,45.51379,Milano,,8,20126,Piazzale Egeo,,Associazione Nuova Acropoli,,,+39 02 39527488,https://www.nuovaacropoli.it/,ngo,POINT (9.214906692504883 45.513790130615234),node
4,"{""source"":""http://www.associazionemura.it/contattaci/""}",0.0,2,3982197331,9.179648,1542559452,45.503624,Milano,,80,20158,Via Legnone,,Associazione Culturale Rosvaldo Muratori,,,+39 02 9970 0720,http://www.associazionemura.it/,ngo,POINT (9.179648399353027 45.503623962402344),node
5,"{""source"":""note 510911""}",0.0,1,4001100457,9.05362,1455213020,45.482285,,,,,,,Croce Rossa Italiana,,,,,ngo,POINT (9.053620338439941 45.48228454589844),node
6,"{""description"":""Deafal (Delegazione Europea per l\u2019Agricoltura Deafal (European Delegation for Family Farming in Asia, Africa and Latin America) is a non-profit Non-Governmental Organization working in the rural development sector and in the Global Citizeship Education.""}",0.0,2,4550924598,9.203148,1506111228,45.494286,Milano,,3,20125,Via privata Angera,,DEAFAL ONG,,,,www.deafal.org,ngo,POINT (9.203147888183594 45.494285583496094),node
7,"{""contact:facebook"":""https://www.facebook.com/MensaItalia""}",0.0,1,4970341248,9.243558,1500035177,45.43757,Milano,,28,20138,Via Bruno Cassinari,,Mensa Italia,,,,https://mensa.it,ngo,POINT (9.243557929992676 45.43756866455078),node
8,"{""fax"":""+39 02 5412 2104""}",0.0,1,5347606704,9.211592,1516300229,45.45198,Milano,,28,20135,Via Friuli,info@ailar.it,Associazione Italiana Laringectomizzati,,,+39 02 551 0819,http://www.ailar.it,ngo,POINT (9.211591720581055 45.45198059082031),node
9,,0.0,1,5862942085,9.183072,1535442068,45.482025,,,,,Viale Pasubio,,LatoB - L'altro lato di Milano,,,,,ngo,POINT (9.183072090148926 45.482025146484375),node
10,,0.0,1,7149894927,9.174016,1579646177,45.46273,Milano,,37,20123,Via Giosuè Carducci,,Federazione Autonoma Bancari Italiani,,,,,ngo,POINT (9.174015998840332 45.462730407714844),node
11,,0.0,1,7149894928,9.174026,1579646177,45.46275,Milano,,37,20123,Via Giosuè Carducci,,Assonova,,,,,ngo,POINT (9.174025535583496 45.46274948120117),node
12,,0.0,1,7746468896,9.186074,1595676368,45.442627,,,,,,,Opera Cardinal Ferrari,,,,https://www.operacardinalferrari.it,ngo,POINT (9.186074256896973 45.442626953125),node
13,"{""service:bicycle:repair"":""yes""}",0.0,6,8209551617,8.938093,1615452934,45.631508,Rescaldina,,3,20027,Via Papa Giovanni XXIII,,Ciclofficina Rescaldina,"Mo 15:00-19:00, Sa 09:30-12:30,15:00-18:00",Ciclofficina Rescaldina,,,ngo,POINT (8.938093185424805 45.631507873535156),node
14,,0.0,4,8209551618,8.938243,1607940509,45.63152,Rescaldina,,3,20027,Via Papa Giovanni XXIII,,Progetto Nuova Vita Onlus - Rescaldina,Sa 09:30-12:30,,3483137411,http://www.progettonuovavita.it/,ngo,POINT (8.93824291229248 45.63151931762695),node
15,,0.0,2,8779924322,9.248918,1623494670,45.50999,Milano,,304,20132,Via Padova,,Associazione Sportello immigrazione,,,,,ngo,POINT (9.248917579650879 45.50999069213867),node
16,,0.0,1,9152827454,9.213138,1633545704,45.50154,Milano,,20,20125,Via Carlo Conti,,ABCittà,,,+39 02 09974484,http://abcitta.org/,ngo,POINT (9.21313762664795 45.50154113769531),node
17,"{""wheelchair"":""yes""}",0.0,1,9379803625,9.162681,1640884506,45.45359,,,,,,,Alatha,,,,https://alatha.org/,ngo,POINT (9.162680625915527 45.453590393066406),node
18,"{""building"":""yes""}",,3,334705435,,1469610508,,,,,,,,Centro di ascolto di Associzione RETO Onlus,,,,,ngo,"POLYGON ((9.0568672 45.4263942, 9.0568293 45.4264619, 9.0569455 45.426494, 9.0569202 45.4265392, 9.0564317 45.4264044, 9.056495 45.4262915, 9.0568672 45.4263942))",way
19,"{""building"":""yes"",""fax"":""+39 02 86316336""}",,4,500699143,,1601555338,,Milano,,19,,Via Santa Croce,info@emergency.it,Casa Emergency,,,+39 02 881881,https://www.emergency.it/,ngo,"POLYGON ((9.1822541 45.453373, 9.182232 45.453506, 9.181695 45.4533895, 9.1816816 45.4534158, 9.181625 45.4534005, 9.1816341 45.4533736, 9.181655 45.4533352, 9.1816782 45.4532846, 9.1816971 45.4532434, 9.1822541 45.453373))",way
