,tags,lat,timestamp,changeset,id,version,lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,url,website,office,geometry,osm_type
0,,46.06901,1311094321,0.0,914014044,2,11.126643,Trento,IT,1,38122,Via Francesco Ferruccio,,Consultorio Familiare Ucipem,,+39 0461 233004,http://www.ucipem-tn.it/,,ngo,POINT (11.126643180847168 46.06901168823242),node
1,,46.0698,1284588342,0.0,914014489,1,11.127638,Trento,IT,39,38122,Piazza Venezia,,Sportello Fa la Cosa Giusta,,,,,ngo,POINT (11.12763786315918 46.069801330566406),node
2,,46.367073,1600010846,0.0,943766914,2,11.034947,Cles,IT,21,38023,Via Giovanni e Tina Lorenzoni,,GSH Cooperativa Sociale,,,,,ngo,POINT (11.034947395324707 46.36707305908203),node
3,,46.366756,1600702326,0.0,943767079,2,11.035809,,,,,,,ACLI Trentine,,,,,ngo,POINT (11.035808563232422 46.366756439208984),node
4,,46.363167,1601554982,0.0,945390424,2,11.032829,,,,,,,CISL,,,,,ngo,POINT (11.032829284667969 46.36316680908203),node
5,,46.36403,1600019769,0.0,945390439,2,11.03379,,,,,,,CGIL,,,,,ngo,POINT (11.03378963470459 46.36402893066406),node
6,,46.05864,1575563595,0.0,4328175991,3,11.121493,Trento,,29,38122,Via Fratelli Bronzetti,,Intercultura,,,,,ngo,POINT (11.121493339538574 46.05863952636719),node
7,,46.088272,1475499294,0.0,4428946796,1,11.181915,Civezzano,,5,38045,Via Borsieri,,SAT - Societa' Alpinisti Tridentini,,,,,ngo,POINT (11.181915283203125 46.08827209472656),node
8,"{""smoking"":""no""}",45.758873,1588879898,0.0,4768079653,3,11.004101,Ala,,6,38061,Via della Roggia,,Associazione MindsHub,Sa 14:00-17:00,,,,ngo,POINT (11.004100799560547 45.758872985839844),node
9,"{""int_name"":""Italian Red Cross"",""name:de"":""Italienisches Rotes Kreuz"",""name:it"":""Croce Rossa Italiana"",""reg_name"":""Comitato di Bolzano - Komitee Bozen"",""reg_name:de"":""Komitee Bozen"",""reg_name:it"":""Comitato di Bolzano"",""short_name"":""CRI""}",46.490826,1568145720,0.0,5286409646,2,11.343184,Bolzano - Bozen,,62,39100,Viale Trieste - Triester Straße,,Croce Rossa Italiana - Italienisches Rotes Kreuz,,,,https://www.cri.it/bolzano,ngo,POINT (11.343184471130371 46.49082565307617),node
10,"{""name:de"":""Oldtimer Nals"",""name:en"":""Oldtimer Nals""}",46.542995,1515228144,0.0,5323296829,1,11.20344,,,1A,39010,Törggeleweg,info@oldtimer-nals.it,Oldtimer Nalles,,+393487419770,,http://www.oldtimer-nals.it,ngo,POINT (11.203439712524414 46.54299545288086),node
11,,46.469036,1584105764,0.0,6440928450,2,11.334706,,,,,,,Oltri.Svico Sviluppo di comunità,,,,,ngo,POINT (11.33470630645752 46.46903610229492),node
12,"{""name:de"":""Der Weg"",""name:it"":""La Strada""}",46.491497,1629056586,0.0,9008564800,1,11.330039,,,,,,,La Strada - Der Weg,,,,,ngo,POINT (11.330039024353027 46.49149703979492),node
13,"{""contact:email"":""sopramonte.dibase@avis.it""}",46.07199,1640550500,0.0,9368487913,1,11.059357,Sopramonte,,14,38123,Via di Vegiara,,Avis Sopramonte,,,,https://www.aviscomunaletrento.it/avis-base/avis-sopramonte,ngo,POINT (11.059356689453125 46.071990966796875),node
14,,46.071983,1640550500,0.0,9368487914,1,11.059364,Sopramonte,,14,38123,Via di Vegiara,,Tutti i Colori del Mondo - Sopramonte,,,,https://www.facebook.com/tuttiicoloridelmondo.sopramonte/,ngo,POINT (11.059364318847656 46.071983337402344),node
15,"{""building"":""yes""}",,1437928855,,362430022,1,,,,,,,,Fondazione San Vigilio-Onlus,,,,,ngo,"POLYGON ((10.7365677 46.3058059, 10.7367486 46.3056557, 10.7364712 46.3055188, 10.7364285 46.3055687, 10.7363828 46.3055532, 10.7363177 46.3056093, 10.7363136 46.3056866, 10.7365677 46.3058059))",way
